"Source","Term_ID","Term_Name","GeneRatio","BgRatio","P_value","FDR","Q_value","Genes","Count","Comparison"
"GO_BP","GO:0061387","regulation of extent of cell growth","19/510","109/18870",9.65284450223313e-11,3.84270964320717e-08,2.84597262309859e-08,"MAPT/GDI1/ABL1/MAP1B/SPP1/DCC/PLXNA4/TWF2/BDNF/NRP1/EFNA5/NRCAM/RTN4R/VEGFA/FSTL4/SEMA6D/SEMA3E/SEMA6B/MEGF8",19,"EOAD_vs_CN"
"GO_BP","GO:0050807","regulation of synapse organization","28/510","244/18870",1.21347335206245e-10,4.08753831437038e-08,3.02729667830318e-08,"YWHAZ/ABL1/CFL1/CAMK2B/HSPA8/ADGRL1/CDH8/BDNF/LRFN2/TPBG/EFNA5/LRP8/DKK1/ADGRB1/PTPRT/NRCAM/NEGR1/LRTM2/SLITRK1/EPHB2/AGRN/APP/NECTIN1/NRP2/RELN/SNCA/SLITRK5/GPR158",28,"EOAD_vs_CN"
"GO_BP","GO:0060560","developmental growth involved in morphogenesis","28/510","244/18870",1.21347335206245e-10,4.08753831437038e-08,3.02729667830318e-08,"MAPT/GDI1/ABL1/HSP90AA1/MAP1B/SPP1/S100B/DCC/PLXNA4/TWF2/BDNF/NRP1/NRN1/EFNA5/NRCAM/RTN4R/VEGFA/SFRP1/EDN3/FSTL4/PLXNA1/SEMA6D/SEMA3E/SEMA6B/SYT1/APP/NRP2/MEGF8",28,"EOAD_vs_CN"
"GO_BP","GO:0007416","synapse assembly","25/510","200/18870",1.95706561050014e-10,5.73184095517742e-08,4.24509368466764e-08,"GAP43/ACHE/MAP1B/BDNF/CBLN4/TPBG/EFNA5/DKK1/ADGRB1/NRXN2/NRG3/SPOCK2/NPTX1/NRCAM/NEGR1/LRTM2/SLITRK1/CDH9/EPHB2/AGRN/APP/NECTIN1/NLGN4X/SNCA/SLITRK5",25,"EOAD_vs_CN"
"GO_BP","GO:0007411","axon guidance","27/510","233/18870",2.09430133096229e-10,5.73184095517742e-08,4.24509368466764e-08,"GAP43/EPHA5/DCC/PLXNA4/BDNF/NRP1/EFNA5/PLXNA2/EFNA3/EPHA10/NRCAM/VEGFA/ROBO4/NFASC/LRTM2/EPHB2/EDN3/PLXNA1/SEMA6D/SEMA3E/B3GNT2/SEMA6B/APP/NECTIN1/NRP2/RELN/MEGF8",27,"EOAD_vs_CN"
"GO_BP","GO:0097485","neuron projection guidance","27/510","233/18870",2.09430133096229e-10,5.73184095517742e-08,4.24509368466764e-08,"GAP43/EPHA5/DCC/PLXNA4/BDNF/NRP1/EFNA5/PLXNA2/EFNA3/EPHA10/NRCAM/VEGFA/ROBO4/NFASC/LRTM2/EPHB2/EDN3/PLXNA1/SEMA6D/SEMA3E/B3GNT2/SEMA6B/APP/NECTIN1/NRP2/RELN/MEGF8",27,"EOAD_vs_CN"
"GO_BP","GO:0016049","cell growth","41/510","497/18870",2.40171625339011e-10,6.11789451011151e-08,4.53101116228256e-08,"MAPT/GDI1/ENO1/ABL1/HSP90AA1/MAP1B/SPP1/CAMK2D/S100B/DCC/PLXNA4/PAPPA2/TWF2/BDNF/NRP1/NRN1/CCN3/EFNA5/CXCL16/SERPINE2/NRG3/NRCAM/IGFBP1/RTN4R/VEGFA/SFRP1/DNAJB2/WFDC1/EDN3/FSTL4/PLXNA1/IGFBPL1/SEMA6D/SEMA3E/PPT1/SEMA6B/SYT1/IGFBP5/APP/NRP2/MEGF8",41,"EOAD_vs_CN"
"GO_BP","GO:0008361","regulation of cell size","24/510","187/18870",2.61369799702675e-10,6.11789451011151e-08,4.53101116228256e-08,"MAPT/GDI1/ABL1/AQP4/HSP90AA1/MAP1B/SPP1/DCC/PLXNA4/TWF2/BDNF/NRP1/EFNA5/NHERF1/NRCAM/RTN4R/VEGFA/FSTL4/RDX/MSN/SEMA6D/SEMA3E/SEMA6B/MEGF8",24,"EOAD_vs_CN"
"GO_BP","GO:0050770","regulation of axonogenesis","22/510","157/18870",2.65448722749757e-10,6.11789451011151e-08,4.53101116228256e-08,"MAPT/GDI1/MAP1B/SPP1/THY1/DCC/PLXNA4/TWF2/BDNF/NRP1/EFNA5/PLXNA2/RTN4R/VEGFA/SLITRK1/EPHB2/FSTL4/PLXNA1/SEMA6D/SEMA3E/SEMA6B/MEGF8",22,"EOAD_vs_CN"
"GO_BP","GO:0048588","developmental cell growth","27/510","239/18870",3.72875089419696e-10,8.16410008284425e-08,6.04646395001097e-08,"MAPT/GDI1/ABL1/HSP90AA1/MAP1B/SPP1/S100B/DCC/PLXNA4/TWF2/BDNF/NRP1/NRN1/EFNA5/NRCAM/RTN4R/VEGFA/EDN3/FSTL4/PLXNA1/SEMA6D/SEMA3E/SEMA6B/SYT1/APP/NRP2/MEGF8",27,"EOAD_vs_CN"
