"Protein","Module","Module_Name"
"SEMA4C","grey","M17_grey"
"SEMA4D","red","M9_red"
"SEMA5A","black","M7_black"
"SEMA6B","red","M9_red"
"SEMA6C","cyan","M14_cyan"
"SERPINA10","blue","M2_blue"
"SERPINB1","salmon","M10_salmon"
"SERPINB6","salmon","M10_salmon"
"SERPINB9","grey","M17_grey"
"SERPINE1","salmon","M10_salmon"
"SERPINE2","green","M11_green"
"SERPINI2","grey","M17_grey"
"SF3A1","grey","M17_grey"
"SFRP1","black","M7_black"
"SFRP2","magenta","M8_magenta"
"SFRP4","tan","M3_tan"
"SGCE","turquoise","M1_turquoise"
"SH3BGRL","salmon","M10_salmon"
"SH3BGRL3","yellow","M6_yellow"
"SHBG","blue","M2_blue"
"SHH","blue","M2_blue"
"SHISA4","turquoise","M1_turquoise"
"SHISA8","midnightblue","M12_midnightblue"
"SHISA9","turquoise","M1_turquoise"
"SIGLEC14","grey","M17_grey"
"SIGLEC9","grey","M17_grey"
"SIL1","magenta","M8_magenta"
"SIRPB1","grey","M17_grey"
"SKP1","yellow","M6_yellow"
"SLC12A2","grey","M17_grey"
"SLC12A5","turquoise","M1_turquoise"
"SLC1A2","yellow","M6_yellow"
"SLC24A2","turquoise","M1_turquoise"
"SLC38A10","grey","M17_grey"
"SLC39A12","magenta","M8_magenta"
"SLC39A14","blue","M2_blue"
"SLC39A6","turquoise","M1_turquoise"
"SLC3A2","grey","M17_grey"
"SLC4A1","purple","M15_purple"
"SLC6A1","midnightblue","M12_midnightblue"
"NHERF1","magenta","M8_magenta"
"SLIT1","turquoise","M1_turquoise"
"SLIT2","turquoise","M1_turquoise"
"SLIT3","grey","M17_grey"
"SLITRK2","grey","M17_grey"
"SLITRK3","red","M9_red"
"SLITRK5","greenyellow","M13_greenyellow"
"SLITRK6","grey","M17_grey"
"SLPI","tan","M3_tan"
"SMOC2","yellow","M6_yellow"
