"Protein","Module","Module_Name"
"HLA-B","grey","M17_grey"
"HLA-C","grey","M17_grey"
"HLA-DRA","grey","M17_grey"
"HLA-DRB1","grey","M17_grey"
"HLA-E","grey","M17_grey"
"HMCN1","tan","M3_tan"
"HNRNPA2B1","magenta","M8_magenta"
"HNRNPK","magenta","M8_magenta"
"HPR","blue","M2_blue"
"HPRT1","yellow","M6_yellow"
"HRNR","lightcyan","M16_lightcyan"
"HS3ST1","cyan","M14_cyan"
"HS6ST1","green","M11_green"
"HS6ST2","turquoise","M1_turquoise"
"HS6ST3","turquoise","M1_turquoise"
"HSP90AA1","pink","M5_pink"
"HSP90AB1","salmon","M10_salmon"
"HSP90B1","grey","M17_grey"
"HSPA13","black","M7_black"
"HSPA1A","pink","M5_pink"
"HSPA2","yellow","M6_yellow"
"HSPA4","pink","M5_pink"
"HSPB1","salmon","M10_salmon"
"HSPE1","yellow","M6_yellow"
"HYAL1","magenta","M8_magenta"
"ICAM1","blue","M2_blue"
"ICAM2","blue","M2_blue"
"IDH1","salmon","M10_salmon"
"IDUA","black","M7_black"
"IFI30","black","M7_black"
"IFI6","grey","M17_grey"
"IFNAR1","blue","M2_blue"
"IFNAR2","green","M11_green"
"IFNGR1","turquoise","M1_turquoise"
"IGF1","blue","M2_blue"
"IGF2R","cyan","M14_cyan"
"IGFALS","blue","M2_blue"
"IGFBP3","brown","M4_brown"
"IGFBPL1","cyan","M14_cyan"
"IGHD","brown","M4_brown"
"IGHV1-18","brown","M4_brown"
"IGHV1-2","brown","M4_brown"
"IGHV1-24","brown","M4_brown"
"IGHV1-3","blue","M2_blue"
"IGHV1-46","brown","M4_brown"
"IGHV1-58","brown","M4_brown"
"IGHV1-69","brown","M4_brown"
"IGHV1-8","brown","M4_brown"
"IGHV2-26","brown","M4_brown"
"IGHV2-5","brown","M4_brown"
"IGHV2-70","brown","M4_brown"
"IGHV2-70D","brown","M4_brown"
"IGHV3-11","brown","M4_brown"
"IGHV3-13","brown","M4_brown"
"IGHV3-15","brown","M4_brown"
"IGHV3-20","brown","M4_brown"
"IGHV3-21","brown","M4_brown"
"IGHV3-23","brown","M4_brown"
"IGHV3-43","brown","M4_brown"
"IGHV3-48","brown","M4_brown"
"IGHV3-49","brown","M4_brown"
"IGHV3-64","brown","M4_brown"
"IGHV3-64D","brown","M4_brown"
"IGHV3-66","brown","M4_brown"
"IGHV3-7","brown","M4_brown"
"IGHV3-73","brown","M4_brown"
"IGHV3-9","brown","M4_brown"
"IGHV4-28","brown","M4_brown"
"IGHV4-30-2","brown","M4_brown"
"IGHV4-34","brown","M4_brown"
"IGHV4-4","brown","M4_brown"
"IGHV5-10-1","blue","M2_blue"
"IGHV5-51","brown","M4_brown"
"IGHV6-1","brown","M4_brown"
"IGHV7-4-1","brown","M4_brown"
"IGKJ1","brown","M4_brown"
"IGKV1-12","brown","M4_brown"
"IGKV1-16","brown","M4_brown"
"IGKV1-27","brown","M4_brown"
"IGKV1-39","brown","M4_brown"
"IGKV1-6","brown","M4_brown"
"IGKV1-8","brown","M4_brown"
"IGKV1-9","brown","M4_brown"
"IGKV1D-13","brown","M4_brown"
"IGKV1D-17","brown","M4_brown"
"IGKV2-24","brown","M4_brown"
"IGKV2-29","brown","M4_brown"
"IGKV2-30","brown","M4_brown"
"IGKV2-40","brown","M4_brown"
"IGKV2D-26","brown","M4_brown"
"IGKV2D-29","blue","M2_blue"
"IGKV3-11","brown","M4_brown"
"IGKV3-15","brown","M4_brown"
"IGKV3D-15","brown","M4_brown"
"IGKV3D-20","brown","M4_brown"
"IGKV3D-7","brown","M4_brown"
"IGKV6-21","brown","M4_brown"
"IGKV6D-21","brown","M4_brown"
"IGLC7","brown","M4_brown"
"IGLL1","brown","M4_brown"
"IGLV1-36","brown","M4_brown"
"IGLV1-40","brown","M4_brown"
"IGLV1-44","brown","M4_brown"
"IGLV1-47","brown","M4_brown"
"IGLV1-51","brown","M4_brown"
"IGLV10-54","brown","M4_brown"
"IGLV2-11","brown","M4_brown"
"IGLV2-18","brown","M4_brown"
"IGLV2-23","blue","M2_blue"
"IGLV2-8","brown","M4_brown"
"IGLV3-1","brown","M4_brown"
"IGLV3-12","brown","M4_brown"
"IGLV3-25","brown","M4_brown"
"IGLV3-27","brown","M4_brown"
"IGLV3-9","brown","M4_brown"
"IGLV4-60","brown","M4_brown"
"IGLV4-69","brown","M4_brown"
"IGLV5-37","brown","M4_brown"
"IGLV5-45","brown","M4_brown"
"IGLV6-57","brown","M4_brown"
"IGLV7-46","brown","M4_brown"
"IGLV8-61","brown","M4_brown"
"IGLV9-49","brown","M4_brown"
"IGSF1","greenyellow","M13_greenyellow"
"IGSF11","blue","M2_blue"
"IGSF21","turquoise","M1_turquoise"
"IL18BP","turquoise","M1_turquoise"
"IL1RAP","blue","M2_blue"
"IL1RAPL1","greenyellow","M13_greenyellow"
"IL6R","grey","M17_grey"
"IMPA1","pink","M5_pink"
"INAFM1","turquoise","M1_turquoise"
"INAFM2","turquoise","M1_turquoise"
"INHBB","grey","M17_grey"
"INHBC","blue","M2_blue"
"INSR","grey","M17_grey"
"ISLR2","turquoise","M1_turquoise"
"ITGA1","grey","M17_grey"
"ITGA7","grey","M17_grey"
"ITGAM","pink","M5_pink"
"ITGB1","grey","M17_grey"
"ITGB2","pink","M5_pink"
"ITGB4","grey","M17_grey"
"ITGBL1","magenta","M8_magenta"
"ITIH3","blue","M2_blue"
"ITM2A","grey","M17_grey"
"ITM2C","magenta","M8_magenta"
"JAG1","greenyellow","M13_greenyellow"
"JAG2","turquoise","M1_turquoise"
"JAM2","grey","M17_grey"
"JAM3","turquoise","M1_turquoise"
"JAML","grey","M17_grey"
"JCHAIN","blue","M2_blue"
"JMJD8","magenta","M8_magenta"
"JUP","lightcyan","M16_lightcyan"
"KCTD12","brown","M4_brown"
"KDR","tan","M3_tan"
"KIAA0319L","turquoise","M1_turquoise"
"KIAA1549L","turquoise","M1_turquoise"
"KIRREL3","yellow","M6_yellow"
"KITLG","turquoise","M1_turquoise"
"KLK10","blue","M2_blue"
"KLK11","magenta","M8_magenta"
"KLK7","magenta","M8_magenta"
"KREMEN1","red","M9_red"
"KRT14","lightcyan","M16_lightcyan"
"KRT16","lightcyan","M16_lightcyan"
"KRT17","lightcyan","M16_lightcyan"
"KRT5","lightcyan","M16_lightcyan"
"KRT6B","lightcyan","M16_lightcyan"
"LAIR1","grey","M17_grey"
"LAMA4","magenta","M8_magenta"
"LAMA5","grey","M17_grey"
"LAMC3","magenta","M8_magenta"
"LAMP5","yellow","M6_yellow"
"LAP3","grey","M17_grey"
"LARGE1","turquoise","M1_turquoise"
"LASP1","pink","M5_pink"
"LAYN","turquoise","M1_turquoise"
"LBP","blue","M2_blue"
"LCN2","blue","M2_blue"
"LCP1","blue","M2_blue"
"LDLR","grey","M17_grey"
"LECT2","tan","M3_tan"
"LFNG","cyan","M14_cyan"
"LGALS3","magenta","M8_magenta"
"LGI1","magenta","M8_magenta"
"LGMN","magenta","M8_magenta"
"LHPP","yellow","M6_yellow"
"LILRA2","yellow","M6_yellow"
"LILRB1","grey","M17_grey"
"LILRB4","grey","M17_grey"
"LINGO3","red","M9_red"
"LIPA","black","M7_black"
"LMNA","blue","M2_blue"
"LNPEP","red","M9_red"
"LOXL1","tan","M3_tan"
"LOXL3","magenta","M8_magenta"
"LPA","blue","M2_blue"
"LPL","grey","M17_grey"
"LRFN2","greenyellow","M13_greenyellow"
"LRIG1","black","M7_black"
"LRIG2","greenyellow","M13_greenyellow"
"LRP11","turquoise","M1_turquoise"
"LRP1B","red","M9_red"
"LRP2","tan","M3_tan"
"LRP4","green","M11_green"
"LRP8","midnightblue","M12_midnightblue"
"LRPAP1","grey","M17_grey"
"LRRC4","red","M9_red"
"LRRC4C","greenyellow","M13_greenyellow"
"LRRN1","green","M11_green"
"LRRTM2","turquoise","M1_turquoise"
"LRTM2","turquoise","M1_turquoise"
"LSR","turquoise","M1_turquoise"
"LTA4H","blue","M2_blue"
"LTBP3","magenta","M8_magenta"
