"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"UBA52",0.18868559772022,0.055749598384069,11.4549716232662,0.00110027881027787,0.0249099145432765,"EOD_vs_CN",194,"study_10"
"MT3",0.0182503836601574,0.107538967455472,0.0288013120633835,0.865820442200158,0.958086115544278,"EOD_vs_CN",193,"study_10"
"NFASC",-0.0423516069389203,0.0318222799854795,1.77123914468127,0.187059526796407,0.653991496002738,"EOD_vs_CN",194,"study_10"
"ALDOA",0.288080762037053,0.0397677218224885,52.4767692718791,2.16799863868795e-10,3.76509096918808e-08,"EOD_vs_CN",194,"study_10"
"LSAMP",0.048684923173397,0.0387381977789276,1.57946553506905,0.212143123917103,0.653991496002738,"EOD_vs_CN",194,"study_10"
"PARK7",0.187628687280385,0.043628595583041,18.4950714701537,3.97670773211337e-05,0.00129491545526941,"EOD_vs_CN",193,"study_10"
"YWHAZ",0.564549194020256,0.0564171593871525,100.133904832061,1.14339493191194e-15,5.95708759526119e-13,"EOD_vs_CN",193,"study_10"
"CXCL16",-0.0485366285199523,0.0630008520837507,0.593535042634338,0.443241441444269,0.798706999638729,"EOD_vs_CN",192,"study_10"
"CST7",-0.099509395,0.0619470303002043,2.58040092427989,0.112250673629352,0.573358832949923,"EOD_vs_CN",194,"study_10"
"SELENBP1",-0.0909361327873798,0.0575644429085388,2.49553893597804,0.118360996424275,0.576927431621957,"EOD_vs_CN",193,"study_10"
"PROCR",0.102543756434469,0.121862893349607,0.708068827187815,0.40299825992606,0.781801055316099,"EOD_vs_CN",148,"study_10"
"NCAN",-0.0847349825911131,0.0610670502769049,1.92535848664497,0.167390744683585,0.643474744115377,"EOD_vs_CN",194,"study_10"
"NICOL1",-0.0700568872094305,0.0672246412048738,1.08603716520619,0.300583095431626,0.720941778796735,"EOD_vs_CN",188,"study_10"
"DPP7",-0.0697573646096348,0.099871492106041,0.487862068598693,0.487161571091875,0.816708145018708,"EOD_vs_CN",188,"study_10"
"ICOSLG",-0.0439390419084815,0.0755274631237738,0.33844754698695,0.562548448977357,0.859410567431281,"EOD_vs_CN",193,"study_10"
"PAPLN",0.124877099523345,0.0883857095013365,1.99618827771325,0.161489089429034,0.643474744115377,"EOD_vs_CN",191,"study_10"
"FOLR2",-0.040943907480315,0.0788803811979394,0.269426663481785,0.605133585032303,0.867497272790126,"EOD_vs_CN",172,"study_10"
"GC",-0.0488750384316833,0.222040558476567,0.0484517649617782,0.826403759637858,0.951310929567607,"EOD_vs_CN",194,"study_10"
"HBA1",-0.685768607944565,0.341010170412774,4.04408744797141,0.0469183559452459,0.364842738021987,"EOD_vs_CN",194,"study_10"
"IGLV3-19",-0.151355911040941,0.115846124194535,1.70700878526256,0.195486268131609,0.653991496002738,"EOD_vs_CN",153,"study_10"
"FBLN5",0.0516491947290877,0.040831333609087,1.60007367409459,0.208532241765421,0.653991496002738,"EOD_vs_CN",193,"study_10"
"LAMP2",0.0933314309427281,0.0688528839101582,1.83743327912148,0.178862130942246,0.652556851738148,"EOD_vs_CN",193,"study_10"
"NUCB2",-0.131368157111111,0.126266382937352,1.08244225043904,0.302825027657765,0.720941778796735,"EOD_vs_CN",120,"study_10"
"PDGFB",0.0155716318812298,0.126456289226183,0.0151630787120044,0.902582567218946,0.967196143632275,"EOD_vs_CN",133,"study_10"
"ITIH2",-0.0778767933782023,0.0864546822664117,0.811407623404174,0.37052174107861,0.763309968050331,"EOD_vs_CN",194,"study_10"
"CSF1R",-0.040835515065287,0.0628495517328592,0.422154775654026,0.517420461317693,0.83486832491546,"EOD_vs_CN",193,"study_10"
"PGLYRP2",-0.0884671967107672,0.0972488761589948,0.827552108168625,0.365883034256952,0.763309968050331,"EOD_vs_CN",161,"study_10"
