"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",0.638797438863821,0.075148700399316,72.257575219552,9.45337914531671e-16,3.17932067045125e-14,"LOAD_vs_CN",317,"study_9"
"CXCL16",0.297266422028553,0.0416148501075173,51.0264133011321,6.54052072635228e-12,9.08563640030240e-11,"LOAD_vs_CN",317,"study_9"
"NCAN",-0.0471856860833828,0.0112958471632879,17.449497825261,4.06416320181143e-05,9.17667945568022e-05,"LOAD_vs_CN",317,"study_9"
"DPP7",0.064801488104393,0.0709652105903077,0.833832784269529,0.361946964221315,0.383555738204677,"LOAD_vs_CN",317,"study_9"
"ICOSLG",0.253046142422171,0.0562306197560961,20.2513370458828,1.05114100836284e-05,2.85820895465471e-05,"LOAD_vs_CN",317,"study_9"
"NUCB2",0.334398096399793,0.0667040792386296,25.1317543252294,9.97835712350867e-07,3.64352582966974e-06,"LOAD_vs_CN",317,"study_9"
"PDGFB",0.274152723674306,0.0598130606369908,21.0084048527804,7.74715344065955e-06,2.18080662933104e-05,"LOAD_vs_CN",317,"study_9"
"AMBP",-0.0207559576505596,0.0561135991604241,0.136819910123561,0.711763233497915,0.730042867102998,"LOAD_vs_CN",317,"study_9"
"SPARCL1",0.263047436629134,0.0455604843866737,33.3343109677543,2.08881831875275e-08,1.25920274121038e-07,"LOAD_vs_CN",317,"study_9"
"AXL",0.277463110326522,0.0554951669764165,24.9977071401906,1.00858001580575e-06,3.66183312556745e-06,"LOAD_vs_CN",317,"study_9"
"SPON1",0.614144494099958,0.081213943751784,57.1847102155455,6.06564422190153e-13,1.04783686035153e-11,"LOAD_vs_CN",317,"study_9"
"SPARC",0.0688120672176549,0.0181430861078152,14.3849012968998,0.000186373458182675,0.000358031682270659,"LOAD_vs_CN",317,"study_9"
"LYVE1",0.239382894390261,0.0561396611201047,18.1822093537586,2.7371197636991e-05,6.47785010742121e-05,"LOAD_vs_CN",317,"study_9"
"CNDP1",0.198589477945752,0.0434936364554007,20.8478382145273,7.22608636655255e-06,2.06137017331566e-05,"LOAD_vs_CN",317,"study_9"
"PLTP",0.130593099333983,0.0545717061155705,5.72671268518608,0.0173189154869675,0.0222671770546725,"LOAD_vs_CN",317,"study_9"
"OMG",-0.0337947814400739,0.0183383644377168,3.39608135750445,0.0663547404772417,0.0783746380128603,"LOAD_vs_CN",317,"study_9"
"IGFBP6",0.109647224927187,0.0614849460031915,3.18022390069862,0.0756389891792837,0.0890116281502068,"LOAD_vs_CN",317,"study_9"
"NPPC",0.109581126089848,0.0176183609215776,38.6848140060921,1.66956259428495e-09,1.50260633485645e-08,"LOAD_vs_CN",317,"study_9"
"PTN",-0.125558694800207,0.0385873662878816,10.5877410218109,0.00133061014760503,0.00215802001096348,"LOAD_vs_CN",317,"study_9"
"DCN",0.016019901389722,0.0328060383602594,0.238458111489866,0.625777926621209,0.647042225098629,"LOAD_vs_CN",317,"study_9"
"GALNT2",0.207523136638955,0.0485525301645978,18.268770183159,2.78166648623721e-05,6.53625094901263e-05,"LOAD_vs_CN",317,"study_9"
"CD99L2",0.103116410220887,0.024859314071131,17.2058958085048,4.34635058861534e-05,9.71090218924896e-05,"LOAD_vs_CN",317,"study_9"
"CHI3L1",-0.0862024739830076,0.0196641348390083,19.217185092535,1.69122816355929e-05,4.28847141473962e-05,"LOAD_vs_CN",317,"study_9"
