"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"TREM1",-0.0126065657523233,-0.138642304266724,0.113429172762077,-0.137331252410565,0.890768968605701,0,NA,NA,NA,4,501,"study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",2,"study_3_Soma; study_8",0.965383535779498
"GP1BA",0.00441244770925405,-0.0850210337392004,0.0938459291577085,0.136912878089544,0.891099659454187,0,0.00646275231710593,-0.0146968378115751,0.0459177742913448,7,911,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",3,"study_1; study_11; study_8",0.980381320902391
"FABP5",0.00470923000865073,-0.0420706696920352,0.0514891297093367,0.134168493687294,0.893269339015113,0.731453264126199,0.00610245737982492,-0.01226089322504,0.0400554612858647,6,643,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.950010841445933
"C1QB",0.00522666737098423,-0.0290524509663117,0.0395057857082801,-0.133939632069478,0.893450310763208,0.0522281527236105,0.00629699606243745,-0.00786940093520949,0.0240153915188464,7,800,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.950010841445933
"FRMPD1",0.0178775359925188,-0.109001887820846,0.144756959805884,-0.133268237072827,0.893981246640548,0.393265616532692,0.0126781134646147,-0.0191847113405828,0.0370927882144244,3,308,"study_11_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD",3,"study_11; study_4; study_5",0.981660176599525
"FKRP",0.0145499261330093,-0.051571193440145,0.0806710457061636,-0.13314810078501,0.894076254846733,0.76089124180695,NA,NA,NA,4,506,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD",2,"study_1; study_11",0.967966854420844
"SERPINB1",0.0077483438580206,-0.0490334506992042,0.0645301384152454,-0.13288102681684,0.894287472231297,0,0.00908683218382746,-0.00828868866634809,0.0311591196816005,7,655,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.950010841445933
"FOLR2",-0.0129898881445423,-0.0623247241910309,0.0363449479019463,-0.132775670195836,0.89437079634169,0.325714848044733,-0.0163908906365905,-0.0496604094090219,0.00637451940565258,9,802,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.950010841445933
"HEXB",-0.00565340612102247,-0.0438691281054928,0.0325623158634479,-0.132544843654797,0.89455335577777,0,-0.0063607258163071,-0.016121479241227,0.00359070444523643,8,803,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.950010841445933
"PCSK5",-0.00486634045169841,-0.0795764335438019,0.0698437526404051,-0.129880890902088,0.896660663065486,0,NA,NA,NA,4,395,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD",2,"study_1; study_11",0.968805171920836
"IGHV3-66",-0.00682268475643744,-0.103514553139269,0.089869183626394,-0.129704644476105,0.896800107852121,0,NA,NA,NA,2,398,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD",2,"study_1; study_11",0.968805171920836
"CADM3",0.00295089191493283,-0.0215438182764296,0.0274456021062953,-0.12790826168688,0.898221572874162,0.0909437201440399,0.00293674145246869,-0.0125207776350405,0.00743843399724976,11,1300,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",5,"study_1; study_11; study_4; study_7; study_8",0.965614119569075
"DBH",-0.0112367509158856,-0.105915499887513,0.0834419980557418,-0.127624071096898,0.898446480924153,0,-0.013348000272657,-0.028865327342885,-0.000295719155325873,6,605,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.952861139930327
"GUSB",-0.0181559169119641,-0.0991028854998016,0.0627910516758733,0.127526514917502,0.898523688634752,0.876337100626592,NA,NA,NA,7,784,"study_1_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",2,"study_1; study_8",0.968805171920836
"BCL2L11",-0.00470014515355952,-0.0301440623416094,0.0207437720344904,-0.127370483088549,0.898647177019942,0.794042376318464,NA,NA,NA,3,483,"study_3_Olink_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",2,"study_3_Olink; study_8",0.968805171920836
"COPB2",-0.0295208687845071,-0.327345724438297,0.268303986869282,0.126327434376892,0.899472740724211,0.51225901839689,NA,NA,NA,3,141,"study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD",2,"study_11; study_2",0.968805171920836
"ADGRG6",-0.0417998672466072,-0.206228570401862,0.122628835908647,0.124476205411083,0.900938239173421,0.723627852855573,-0.0159948963557537,-0.0544294364409015,0.0596196695104683,3,189,"study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",3,"study_11; study_2; study_7",0.986818712017788
"TGFB2",-0.00552712309878313,-0.090963726707111,0.0799094805095448,-0.12303620991613,0.902078424421922,0,NA,NA,NA,4,478,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD",2,"study_1; study_11",0.970614156872869
"C1GALT1",-0.0133999791351223,-0.0551833637473995,0.0283834054771549,0.122335699932246,0.902633159866484,0.829092577621657,-0.0183660780577317,-0.08071027070289,0.0440893309499687,6,564,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",3,"study_1; study_11; study_7",0.986818712017788
"CCL14",-0.0161396182829754,-0.0833092249570433,0.0510299883910925,0.122190215642245,0.902748375176554,0.569355118282406,-0.0163202298487805,-0.0576616637555717,0.0108818535707077,9,1092,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",4,"study_1; study_11; study_7; study_8",0.954122053283819
"B3GNT9",-0.00497132391205491,-0.0553167135171406,0.0453740656930308,0.121575605010933,0.903235134528653,0,-0.00597815148203356,-0.0212616898157316,0.0089485203809357,6,633,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.954122053283819
"MANBA",-0.00547844657814539,-0.0390716104323713,0.0281147172760805,-0.121534320718732,0.903267832169707,0.570725417911493,-0.00665462377143452,-0.013951179188531,0.0115545018608424,7,668,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.954122053283819
"PRG2",-0.0471311090513877,-0.208357441291584,0.114095223188808,-0.120798912887154,0.903850311190428,0.626689106027894,NA,NA,NA,4,466,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD",2,"study_1; study_11",0.970658649554951
"RFNG",-0.00217545846800309,-0.0499725051732322,0.045621588237226,-0.1207819793811,0.903863723967256,0,-0.00139808256611573,-0.00730323219366537,0.00418461069973596,6,492,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",3,"study_1; study_11; study_7",0.986818712017788
"MICOS10",0.00768216212331779,-0.0853427962953464,0.100707120541982,0.120645059141505,0.903972177448122,0.378367673432686,NA,NA,NA,2,84,"study_3_Soma_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",2,"study_3_Soma; study_7",0.970658649554951
"IGHV3-20",-0.00447808639530319,-0.157527596405831,0.148571423615225,-0.118229287611678,0.905885984537304,0,NA,NA,NA,3,486,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD",2,"study_1; study_11",0.970782256567024
"FCRL1",-0.00601006622872776,-0.133631086151424,0.121610953693969,-0.117311011781224,0.906613599145022,0,NA,NA,NA,3,483,"study_3_Olink_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",2,"study_3_Olink; study_8",0.970782256567024
"PRRT1",0.00675488879040566,-0.0732687689444205,0.0867785465252318,0.117247065808535,0.906664270968735,0.0289225324565714,0.018253234318086,-0.0149217548964424,0.0734565845329969,4,309,"study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",3,"study_11; study_2; study_7",0.987987211303718
"NAV1",-0.00607818908865781,-0.0733209733023912,0.0611645951250756,-0.116992181470287,0.906866249216714,0,NA,NA,NA,2,326,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD",2,"study_1; study_11",0.970782256567024
