"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"NCAM2",0.00166333271669364,-0.0191135229416655,0.0224401883750527,0.715347723605687,0.4743942062485,0.920358010214736,0.00298833222745114,-0.0225369690828542,0.0356021515818558,8,1631,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.588367229278561
"RETREG2",0.0281238644064278,-0.0532210674200268,0.109468796232882,0.714681901446937,0.474805623600081,0,NA,NA,NA,2,531,"study_11_LOAD_vs_CN; study_2_LOAD_vs_CN",2,"study_11; study_2",0.683090792345681
"RPS28",0.0536325005488766,-0.0764385114917559,0.183703512589509,0.714601862295236,0.474855093680398,0.0464702643791736,NA,NA,NA,2,324,"study_11_LOAD_vs_CN; study_2_LOAD_vs_CN",2,"study_11; study_2",0.683090792345681
"PLEKHB2",0.0017890490636299,-0.0454920685864408,0.0490701667137006,0.713721513325451,0.475399400752731,0.793121236603189,NA,NA,NA,4,969,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.683090792345681
"SEMA3D",-0.0240218291546197,-0.084763409672102,0.0367197513628626,-0.712781737149083,0.475980828333469,0,NA,NA,NA,4,865,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.683090792345681
"SNX12",-0.0143670261705957,-0.058747295674201,0.0300132433330095,-0.712592278545245,0.476098091161904,0,NA,NA,NA,4,798,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN",2,"study_1; study_11",0.683090792345681
"IGHV3-20",-0.0200106192049363,-0.122317826456326,0.0822965880464536,-0.711519674264716,0.476762263488821,0.756714497896714,NA,NA,NA,3,1018,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.683090792345681
"PCDHA4",-0.0293566528832866,-0.102575142550438,0.0438618367838652,-0.710637547526375,0.477308869338753,0,NA,NA,NA,2,470,"study_11_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN",2,"study_11; study_3_Soma",0.683090792345681
"LCP1",0.00992213409931696,-0.0166367798735237,0.0364810480721576,0.710451388926077,0.477424265481233,0.658038416911643,0.0106157658484537,0.00053082698328109,0.0351744085348588,7,1380,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.591202945572555
"CPA2",0.0182243279241009,-0.0872790261982665,0.123727682046468,0.710343246633282,0.477491307821118,0.495839562205144,0.0195433249854388,-0.0383540071839029,0.0585074332185665,5,1342,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",3,"study_1; study_11; study_8",0.597124206294819
