"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",-0.155623199095833,0.0528054870423954,8.68541495594122,0.00334971973448134,0.130916657455047,"EOD_vs_LOD",552,"study_8"
"CXCL16",-0.0431432127150639,0.0350071256002511,1.51884011504819,0.21840202606176,0.47046409763335,"EOD_vs_LOD",552,"study_8"
"NCAN",0.00342198171442298,0.00761658344245076,0.201852884756957,0.653409704024727,0.816121532281865,"EOD_vs_LOD",552,"study_8"
"DPP7",-0.0507665837586542,0.0571069698687746,0.790273911100309,0.374442513773771,0.615294505354921,"EOD_vs_LOD",552,"study_8"
"ICOSLG",-0.0532759509073726,0.0463958361460468,1.31857369693169,0.251350596374112,0.495697615759472,"EOD_vs_LOD",552,"study_8"
"NUCB2",-0.104866566208333,0.0526433453324012,3.96814136757018,0.0468785442789516,0.264918276030921,"EOD_vs_LOD",552,"study_8"
"PDGFB",-0.0775624665538461,0.042409356268267,3.34487476795345,0.0679716488119,0.307828298352305,"EOD_vs_LOD",552,"study_8"
"AMBP",0.0504427314012821,0.0407151189737166,1.53492010096546,0.215941488622335,0.47046409763335,"EOD_vs_LOD",552,"study_8"
"SPARCL1",-0.0797044913240388,0.0360001964195629,4.90180294345313,0.027257418225839,0.240544459265421,"EOD_vs_LOD",552,"study_8"
"AXL",-0.048524957201602,0.0403649155487821,1.44518094159945,0.229834921556389,0.47499975955459,"EOD_vs_LOD",552,"study_8"
"SPON1",-0.0661802367275643,0.0573228560135092,1.33291050916803,0.248802449901294,0.49219615089169,"EOD_vs_LOD",552,"study_8"
"SPARC",-0.0233733755067309,0.0139693065303352,2.79958190728971,0.0948772534697297,0.353431640118233,"EOD_vs_LOD",552,"study_8"
"LYVE1",-0.118371545096474,0.0416806850181537,8.06538191444274,0.00468173154511627,0.14143079847891,"EOD_vs_LOD",552,"study_8"
"CNDP1",-0.0820547816705126,0.0364889650437753,5.05690386732971,0.0249917912970614,0.240326433294902,"EOD_vs_LOD",552,"study_8"
"PLTP",0.00591131591282057,0.037852187206358,0.0243885724616562,0.875961023331131,0.951068564002147,"EOD_vs_LOD",552,"study_8"
"OMG",-0.00266538787371751,0.0103672638092216,0.0660986417468125,0.797224373233061,0.917915226237163,"EOD_vs_LOD",552,"study_8"
"IGFBP6",-0.0540971144355762,0.0460833237466629,1.37803615044119,0.240983565398429,0.485780161894935,"EOD_vs_LOD",552,"study_8"
"NPPC",-0.0264464552862176,0.0153810262947926,2.9564076079131,0.0861189806060215,0.342861191537723,"EOD_vs_LOD",552,"study_8"
"PTN",0.0243243143032048,0.0251953932916374,0.93204939531439,0.334756932143377,0.577815246707487,"EOD_vs_LOD",552,"study_8"
"DCN",0.0573097640541667,0.0231136037770839,6.14783088829236,0.0135225880246414,0.201023195226103,"EOD_vs_LOD",552,"study_8"
"GALNT2",-0.00688559145192302,0.035476330506937,0.0376708237558578,0.846177296745376,0.945108903951346,"EOD_vs_LOD",552,"study_8"
"CD99L2",-0.019200684651282,0.0206845899092401,0.861667275813616,0.353703575225344,0.591362670389879,"EOD_vs_LOD",552,"study_8"
"CHI3L1",0.045410248961538,0.0133286077423446,11.6074866250401,0.000705290918414049,0.0748783858382915,"EOD_vs_LOD",552,"study_8"
"FAM3C",0.0187380946657054,0.00768923412500027,5.93860839692124,0.0151495646587412,0.201047347658712,"EOD_vs_LOD",552,"study_8"
"CRTAC1",-0.180575435348077,0.0578697135506576,9.73676472065148,0.00190249581349596,0.100990819433077,"EOD_vs_LOD",552,"study_8"
"CTSH",0.0126012670983977,0.0713002222678666,0.0312353708558376,0.859790090888882,0.949196339508177,"EOD_vs_LOD",552,"study_8"
"TIMP1",-0.0805260756669872,0.0343207077732624,5.50504151934959,0.0193326543291127,0.219908942993657,"EOD_vs_LOD",552,"study_8"
"SELL",-0.0283651265711544,0.0463731574243197,0.374141702326778,0.541016736215328,0.739544336843699,"EOD_vs_LOD",552,"study_8"
"TAFA5",-0.00133850051282103,0.0128980132295673,0.0107693985063029,0.917389371602862,0.962546074734326,"EOD_vs_LOD",552,"study_8"
"TNFRSF21",-0.00817458901987145,0.0152919343665738,0.285763663211583,0.593176896090402,0.780689427292533,"EOD_vs_LOD",552,"study_8"
"IGFBP7",-0.0373319657307682,0.0247902225658023,2.26777970968574,0.132681955708754,0.384270836189916,"EOD_vs_LOD",552,"study_8"
"SEZ6L2",0.00948733986185901,0.0215099164617164,0.194541145811827,0.659339970038786,0.817148701686357,"EOD_vs_LOD",552,"study_8"
"KIT",-0.0934603218032048,0.0439614683707282,4.51970577707935,0.0339642666810297,0.251030260373359,"EOD_vs_LOD",552,"study_8"
"IGFBP2",-0.00416462737820567,0.0330889409334445,0.0158411448651541,0.899897613361825,0.962546074734326,"EOD_vs_LOD",552,"study_8"
"PRELP",-0.0594868846980763,0.0298438813619156,3.97312145860079,0.0468578128866824,0.264918276030921,"EOD_vs_LOD",552,"study_8"
"ALCAM",-0.0530205635410255,0.0428672420235073,1.52981034342465,0.216678359241335,0.47046409763335,"EOD_vs_LOD",552,"study_8"
"WFIKKN2",-0.0727664429711528,0.0570611671186672,1.62622633986456,0.202812785905991,0.45524242333368,"EOD_vs_LOD",552,"study_8"
"TGFBI",-0.0778834711939105,0.0477998020018561,2.65484031160992,0.103831157340126,0.356948677469051,"EOD_vs_LOD",552,"study_8"
"DNER",0.0133538108666666,0.0121721242054392,1.20358756260445,0.273110990194568,0.51623650075353,"EOD_vs_LOD",552,"study_8"
"CDH2",-0.0572314258621796,0.0396193966675064,2.08666829137,0.14917395693358,0.397589165551006,"EOD_vs_LOD",552,"study_8"
"MOG",0.0177198559224347,0.011980354925495,2.18766593245744,0.139771684300542,0.390976344283724,"EOD_vs_LOD",552,"study_8"
"COL18A1",-0.0583523140137823,0.0436499000948431,1.78710330527257,0.181854869325123,0.434275074449663,"EOD_vs_LOD",552,"study_8"
"RTN4R",-0.0483173942907058,0.0327174942307157,2.18095618785194,0.140319587798378,0.390976344283724,"EOD_vs_LOD",552,"study_8"
"COCH",-0.0166439344301281,0.0654177702158568,0.0647322225273397,0.799266375170246,0.917915226237163,"EOD_vs_LOD",552,"study_8"
"CD59",-0.0739385968464745,0.0375337814630583,3.88059006180219,0.0493574674394768,0.264918276030921,"EOD_vs_LOD",552,"study_8"
"TGFBR3",-0.0802688169192307,0.0490648870327402,2.67640675550761,0.102437996979801,0.356948677469051,"EOD_vs_LOD",552,"study_8"
"CLSTN2",-0.07429310298782,0.0381346212585267,3.79540495932646,0.0519093461124728,0.270443812025397,"EOD_vs_LOD",552,"study_8"
"APLP1",0.0353077120375005,0.021318569784353,2.74298239907842,0.098256368839903,0.356948677469051,"EOD_vs_LOD",552,"study_8"
"BCAN",0.0082667786060906,0.00684148882964589,1.46006223969179,0.22745254092627,0.47499975955459,"EOD_vs_LOD",552,"study_8"
"NBL1",-0.000153299731730172,0.0247847657188645,3.82571975586583e-05,0.995067167067288,0.997952053112815,"EOD_vs_LOD",552,"study_8"
"SOD1",-0.0324058292330127,0.028832090028531,1.26326373078749,0.261558783563234,0.506422325622432,"EOD_vs_LOD",552,"study_8"
