"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"MT3",-0.0266098400094737,0.0672552404910709,0.156542500555311,0.694720632361913,0.853562719171152,"LOD_vs_CN",101,"study_6"
"NFASC",-0.0399077607610527,0.0442513536704343,0.813320275444496,0.371909562566519,0.613405293374976,"LOD_vs_CN",101,"study_6"
"ALDOA",0.122398487328421,0.0551056351883717,4.93355615307791,0.0323040338648816,0.121383014465974,"LOD_vs_CN",101,"study_6"
"LSAMP",0.0412566255257895,0.0446396509545614,0.854172973630166,0.360825865149333,0.602582209217641,"LOD_vs_CN",101,"study_6"
"PARK7",0.170494515061579,0.0404100898425101,17.8008684998546,7.51166555812249e-05,0.00125131828755724,"LOD_vs_CN",101,"study_6"
"YWHAZ",0.485701642679474,0.056376788326825,74.2229962199093,1.1932410025565e-10,4.60892174227542e-08,"LOD_vs_CN",101,"study_6"
"CXCL16",0.148606138649758,0.098221131691211,2.28909402621093,0.14252023294402,0.334387260158562,"LOD_vs_CN",64,"study_6"
"CST7",-0.0223302704201389,0.101857743126339,0.0480617816845067,0.829025516419892,0.929089934106206,"LOD_vs_CN",41,"study_6"
"SELENBP1",-0.00684488107315789,0.0516555709072388,0.0175589071403055,0.895279846340131,0.950432508143347,"LOD_vs_CN",101,"study_6"
"PROCR",0.125048444207895,0.0551617568740671,5.13902116197458,0.0277752707058061,0.10781119639011,"LOD_vs_CN",101,"study_6"
"NCAN",-0.242034792004737,0.0739627787044414,10.7085128275451,0.00253668400699033,0.0185653957041218,"LOD_vs_CN",101,"study_6"
"NICOL1",-0.14760999208421,0.082346446566744,3.21322981185187,0.082237944377655,0.23096404862714,"LOD_vs_CN",101,"study_6"
"DPP7",0.00729080449789471,0.0646856031221638,0.0127038583313765,0.910730987608134,0.955321071001604,"LOD_vs_CN",101,"study_6"
"ICOSLG",0.250674365947368,0.0621122152129786,16.2879269629173,0.000255439145153177,0.00315378240347936,"LOD_vs_CN",101,"study_6"
"PAPLN",0.124026904090526,0.0524055029743535,5.60116052159957,0.0239816910016683,0.0970433204703137,"LOD_vs_CN",101,"study_6"
"FOLR2",0.14017025418,0.0451569384572823,9.63524454646054,0.00321982373973783,0.0215987505226038,"LOD_vs_CN",101,"study_6"
"GC",0.000951944189999998,0.0988513904749446,9.27379325905567e-05,0.992355791154955,0.996343157467984,"LOD_vs_CN",101,"study_6"
