"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"STIP1",-0.00760112809179939,-0.113673936212975,0.0984716800293762,0.234258489837743,0.814784309665299,0,-0.00540657213511194,-0.0315895897867464,0.0374489650389421,7,764,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",4,"study_1; study_11; study_6; study_7",0.878942165704174
"MASP1",0.00156125550092059,-0.0340287632134474,0.0371512742152886,0.233324699809393,0.815509280163589,0.652334896170899,0.00163927824793058,-0.00796219279565237,0.0152857720751604,9,1501,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",0.892181443005745
"DNASE1L1",0.000448381083339671,-0.129565561619052,0.130462323785731,-0.233256796118454,0.815562005006775,0.33783994436667,NA,NA,NA,2,421,"study_11_EOD_vs_CN; study_2_EOD_vs_CN",2,"study_11; study_2",0.943669688442988
"HINT1",0.0225861117459315,-0.229671279423254,0.274843502915117,0.232507339333419,0.816143987434274,0,NA,NA,NA,4,467,"study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_5_EOD_vs_CN",2,"study_11; study_2",0.943669688442988
"KNG1",0.0150820869704119,-0.0521311196029428,0.0822952935437666,0.232337415873277,0.816275953744785,0.696038281146955,0.0157312232239598,-0.0119196695886951,0.0587867588561357,9,1515,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",0.892181443005745
"FJX1",0.00738568642242905,-0.0614735512923079,0.076244924137166,0.232115158805809,0.816448571353648,0.361538904725417,0.006770587310198,-0.013214537027768,0.0153148110035645,7,1030,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",4,"study_1; study_11; study_6; study_7",0.878942165704174
"KERA",0.0102769048328539,-0.0921808904432045,0.112734700108912,0.230733068368851,0.817522181753671,0,NA,NA,NA,2,120,"study_3_Soma_EOD_vs_CN; study_6_EOD_vs_CN",2,"study_3_Soma; study_6",0.943669688442988
"PCDHGA10",0.0355581628344449,-0.354345918834952,0.425462244503842,0.229792590300795,0.818252942753146,0,NA,NA,NA,2,304,"study_11_EOD_vs_CN; study_3_Soma_EOD_vs_CN",2,"study_11; study_3_Soma",0.943669688442988
"SIGLEC14",-0.0114049290813196,-0.105547599767206,0.0827377416045671,-0.229715862428668,0.818312568064955,0,-0.0124107646867545,-0.0399926190128773,0.0154830249466848,8,1265,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",0.89312971714518
"SERPINA7",0.00537415195510503,-0.0562494999738543,0.0669978038840644,-0.226999416239763,0.820424196094671,0.646544993794126,0.00588620541697999,-0.0159710037259049,0.0414633926644014,10,1541,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",0.894012466141542
