"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"GSS",0.0305581837766626,-0.00418302897896449,0.0652993965322897,1.82722876597008,0.0676653804657615,0,0.0306367707334753,0.018293861338718,0.0440327006456872,8,900,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.213314593440116
"TNRC18",-0.0430993107605337,-0.0927520289843494,0.00655340746328201,-1.82677951105258,0.0677329276971582,0,NA,NA,NA,3,978,"study_7_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",2,"study_7; study_8",0.478867872983915
"PPIC",0.0388363612596364,-0.00102248750068379,0.0786952100199566,1.82510407536407,0.0679853253237443,0.630289494083923,0.0384678743952558,0.0181996226363037,0.0502923418384677,9,1051,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.213314593440116
"UCHL1",0.0308043822978036,-0.0167972950872338,0.0784060596828409,1.82468755609515,0.0680481921751125,0.958974536325954,0.0313047862029937,-0.0250026780893506,0.136368890010517,8,859,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.213314593440116
"GKN1",0.112793802853757,0.000965506152791645,0.224622099554721,1.82391020212881,0.0681656490574691,0,NA,NA,NA,2,92,"study_2_EOD_vs_LOD; study_7_EOD_vs_LOD",2,"study_2; study_7",0.478867872983915
"RTN4RL2",-0.034247366005303,-0.0868945220152912,0.0183997900046852,-1.82339959506095,0.0682428916039178,0,-0.0338992347113268,-0.0578966896016755,-0.0160470729451245,8,1021,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.213314593440116
"POMGNT1",-0.0266441418007328,-0.0580564570613789,0.00476817345991337,-1.8223238736931,0.0684058578440162,0.791194243051291,-0.0268888415174162,-0.0348708401014518,-0.00143914379328103,8,1007,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.213314593440116
"DNAJA1",0.145291734861918,-0.00642495505834573,0.297008424782181,1.82174674169671,0.0684934221414997,0,NA,NA,NA,2,110,"study_11_EOD_vs_LOD; study_2_EOD_vs_LOD",2,"study_11; study_2",0.478867872983915
"EPB41L2",0.0738262902334028,-0.00505753641225805,0.152710116879064,1.82113566331903,0.0685862372918897,0,NA,NA,NA,4,466,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_5_EOD_vs_LOD",2,"study_1; study_11",0.478867872983915
"NDRG3",0.174510673695195,0.00738849396044117,0.341632853429949,1.82056619352844,0.0686728256490675,0.829647979859822,0.13522893864009,-0.0360981199361509,0.223851823140896,3,181,"study_11_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_7_EOD_vs_LOD",3,"study_11; study_3_Soma; study_7",0.415022728922626
"SKP1",-0.0471821784380693,-0.0880889047438756,-0.00627545213226302,-1.81738472601499,0.0691582248324481,0.843605587702769,-0.0459164693256696,-0.0657215673905339,-0.0273174587085149,8,1649,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",5,"study_1; study_11; study_6; study_7; study_8",0.214784080373945
"CADPS",0.0732226807892156,-0.00278704556352002,0.149232407141951,1.81704337847287,0.069210471512338,0,NA,NA,NA,4,395,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_5_EOD_vs_LOD",2,"study_1; study_11",0.478911744839839
