"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"FAM177A1",-0.182292587278956,0.204798806523605,0.792288176635826,0.388273615938073,0.692525947445599,"EOAD_vs_CN",27,"study_3_Soma"
"TAFA1",-0.5319786203976,0.280073562313505,3.60781389693961,0.0816276126965452,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"FAM20A",-0.137404664623409,0.0723577149432843,3.60606263691541,0.0736707066899211,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"FAM20B",-0.166222088770391,0.161331548848723,1.06154611284402,0.315909733369119,0.644556870129293,"EOAD_vs_CN",27,"study_3_Soma"
"FAM20C",-0.166500333652753,0.151770041857557,1.2035332927619,0.286301276686998,0.620782702964494,"EOAD_vs_CN",27,"study_3_Soma"
"FAM234B",-0.390720298946613,0.214286099636122,3.32463481967839,0.0856022263584648,0.461645733380052,"EOAD_vs_CN",27,"study_3_Soma"
"FAM241B",-0.0452126479048882,0.146795199280326,0.0948628524206659,0.76301649584234,0.911129250404384,"EOAD_vs_CN",27,"study_3_Soma"
"FAM3A",-0.0412879268563069,0.0581715539567886,0.50376132496385,0.48811326274722,0.761828313453201,"EOAD_vs_CN",27,"study_3_Soma"
"FAM3B",-0.393671865321251,0.238069181108706,2.7344022319229,0.113240383524654,0.501183303714989,"EOAD_vs_CN",27,"study_3_Soma"
"FAM3D",-0.0615398764293422,0.118047933744546,0.271766837202511,0.610078486667762,0.826708051001484,"EOAD_vs_CN",27,"study_3_Soma"
"CYRIB",0.355221585357681,0.211366509888946,2.82440091637943,0.113822854102148,0.501183303714989,"EOAD_vs_CN",27,"study_3_Soma"
"FAP",-0.0971669595429105,0.0500808713845352,3.7643801374893,0.0734016559638107,0.459278102450447,"EOAD_vs_CN",27,"study_3_Soma"
"FAS",0.256982456303094,0.169717514714051,2.292733754298,0.152727512789928,0.535362541553983,"EOAD_vs_CN",27,"study_3_Soma"
"FBLN7",-0.0484299649721205,0.155929473342158,0.0964654702577067,0.759625552168298,0.910510231710769,"EOAD_vs_CN",27,"study_3_Soma"
"FCGR2A",0.0679354651118409,0.650981170137125,0.010890711484935,0.91842084429606,0.973430252542192,"EOAD_vs_CN",27,"study_3_Soma"
"FCGR3A",-1.07448024929733,1.10661311701444,0.942768897061892,0.346700158146814,0.671586189960612,"EOAD_vs_CN",27,"study_3_Soma"
"FCGR3B",0.0282911746088779,0.103781986797061,0.0743118369765501,0.789229697596218,0.923656709792476,"EOAD_vs_CN",27,"study_3_Soma"
"FCGRT",-0.215106643434195,0.193715423987349,1.23304590190729,0.281078771005362,0.618433354638048,"EOAD_vs_CN",27,"study_3_Soma"
"FCMR",-0.15703399967347,0.171290177555202,0.840470482685241,0.375464191669771,0.684959774649131,"EOAD_vs_CN",27,"study_3_Soma"
"FCN2",-0.301833916015578,0.280869834882688,1.15485079793139,0.293463659207282,0.628597978663689,"EOAD_vs_CN",27,"study_3_Soma"
"FCN3",-0.363601026047679,0.223459673631111,2.64759699756021,0.118714224507988,0.503512055671811,"EOAD_vs_CN",27,"study_3_Soma"
"FDPS",-0.134680898392274,0.213663821511363,0.397328781944178,0.537247252190991,0.792586342555838,"EOAD_vs_CN",27,"study_3_Soma"
"FGFR3",-0.0234098788497938,0.261633744975281,0.00800591209027753,0.93007746166686,0.977487826697278,"EOAD_vs_CN",27,"study_3_Soma"
"FGFRL1",-0.0701861261370738,0.0551771068504534,1.61802301627266,0.224801067359803,0.58076561027053,"EOAD_vs_CN",27,"study_3_Soma"
"FGL2",-0.0618361632048732,0.0737254007022201,0.703478430856211,0.415297867027083,0.713731964663984,"EOAD_vs_CN",27,"study_3_Soma"
"FIS1",-0.0094906799112886,0.0911538849042834,0.0108403745360155,0.918656653989819,0.973430252542192,"EOAD_vs_CN",27,"study_3_Soma"
"FJX1",-0.181966781775349,0.145798556031162,1.5576783473857,0.226111142291472,0.581740493200424,"EOAD_vs_CN",27,"study_3_Soma"
"FKBP1A",0.232190719914183,0.189415832003479,1.50264767678231,0.243929823623402,0.593557031332446,"EOAD_vs_CN",27,"study_3_Soma"
"FKBP2",-0.129526495096429,0.0791083321163982,2.68085158506624,0.128889295675853,0.508874034038738,"EOAD_vs_CN",27,"study_3_Soma"
"FKBP4",0.0975513487175235,0.249386028789904,0.153010881529155,0.699578521235975,0.87804242971454,"EOAD_vs_CN",27,"study_3_Soma"
"FLNA",-0.0858899821973882,0.081501101054867,1.11060103410673,0.305762253294346,0.637188762956201,"EOAD_vs_CN",27,"study_3_Soma"
"FLRT1",-0.066626848582418,0.105792795540931,0.396630727852667,0.538267313463571,0.792586342555838,"EOAD_vs_CN",27,"study_3_Soma"
"FLRT2",-0.0364140189320086,0.158494665135025,0.0527846845013308,0.821635798121781,0.94217057187484,"EOAD_vs_CN",27,"study_3_Soma"
"FLRT3",-0.102795486311484,0.135102797966945,0.578921134216375,0.457047315642082,0.743079468949353,"EOAD_vs_CN",27,"study_3_Soma"
"FLT4",-0.190635064942207,0.152907353975513,1.55435003526959,0.228633594370356,0.583535702151954,"EOAD_vs_CN",27,"study_3_Soma"
