"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"UBA52",0.0961074851311281,0.0589756439321884,2.65563903244217,0.14211678692038,0.372560211151682,"EOAD_vs_CN",79,"study_4"
"MT3",0.0325536758325811,0.101950613185754,0.101957783259598,0.758595363069962,0.848182285924621,"EOAD_vs_CN",79,"study_4"
"NFASC",-0.178677740075129,0.0664476025640764,7.23073207045029,0.0312295880753494,0.211751841096271,"EOAD_vs_CN",79,"study_4"
"ALDOA",0.54405819965042,0.160337862096262,11.5137963351876,0.0136035700098353,0.131865581356783,"EOAD_vs_CN",79,"study_4"
"LSAMP",-0.121477805249784,0.0532779552239665,5.19874812479026,0.0538771164062936,0.244888354116801,"EOAD_vs_CN",79,"study_4"
"PARK7",0.148376426613341,0.0753865727102127,3.87384122286364,0.0924265749873951,0.303180977539774,"EOAD_vs_CN",79,"study_4"
"YWHAZ",0.851541792539095,0.116066373144357,53.826867609302,0.000212232339875508,0.0192288530205769,"EOAD_vs_CN",79,"study_4"
"CXCL16",0.150832074208277,0.0946425360297978,2.53988859918486,0.160825714274637,0.401883582636845,"EOAD_vs_CN",70,"study_4"
"SELENBP1",-0.118684893182239,0.0996240826202864,1.41926082706788,0.271949592402258,0.509926004481828,"EOAD_vs_CN",79,"study_4"
"PROCR",0.159868009248921,0.16348837768567,0.956201378197336,0.367689523602521,0.598639458632508,"EOAD_vs_CN",70,"study_4"
"NCAN",-0.107468157269217,0.124290397893198,0.747626088492817,0.416519270061455,0.631146918171279,"EOAD_vs_CN",79,"study_4"
"NICOL1",-0.206601415789128,0.0926746680656932,4.96986404336801,0.0569794070537987,0.250396553580068,"EOAD_vs_CN",79,"study_4"
"DPP7",-0.0766755577196996,0.174021664275891,0.19413652505719,0.673274568431235,0.795623081929365,"EOAD_vs_CN",79,"study_4"
"ICOSLG",-0.167530186152458,0.0702110488527874,5.69344619118013,0.04703540422081,0.231730586442601,"EOAD_vs_CN",71,"study_4"
"PAPLN",0.0261935443537791,0.0918110506980641,0.0813951676412917,0.78374303222425,0.868050051626859,"EOAD_vs_CN",79,"study_4"
"FOLR2",-0.114068898732556,0.0993112881466902,1.31928087669787,0.287594700209599,0.520855548262336,"EOAD_vs_CN",79,"study_4"
"GC",0.348687405367794,0.149971263158387,5.40575580011051,0.0518192300774232,0.244309825422506,"EOAD_vs_CN",79,"study_4"
"HBA1",2.54942538699969,0.900882960944863,8.00843890189593,0.0240538497035124,0.189701282768126,"EOAD_vs_CN",79,"study_4"
"IGLV3-19",0.373630276456833,0.266870975483807,1.96011447714998,0.210903019821931,0.439089440775495,"EOAD_vs_CN",66,"study_4"
"FBLN5",-0.0622242491381098,0.0690000811807648,0.813242610813591,0.39727034445137,0.619585726549682,"EOAD_vs_CN",79,"study_4"
"LAMP2",0.00677134930742085,0.0883469424323902,0.0058744523894472,0.940237923657466,0.968096825099169,"EOAD_vs_CN",59,"study_4"
"NUCB2",0.00307281424483818,0.108536088751359,0.000801538302811692,0.978177041431406,0.990649244145468,"EOAD_vs_CN",79,"study_4"
"PDGFB",0.00340273121613155,0.161828169074927,0.00044212701224475,0.984444513992305,0.993564565606582,"EOAD_vs_CN",61,"study_4"
"ITIH2",0.586642897998827,0.232877855344107,6.34587114029354,0.0416736140948794,0.23096129914898,"EOAD_vs_CN",79,"study_4"
"CSF1R",0.0526432367671408,0.0879357012384276,0.358389028210392,0.566978629710073,0.727411255204692,"EOAD_vs_CN",78,"study_4"
"PGLYRP2",0.372301759078831,0.212577830536713,3.06728573834932,0.124160642707783,0.358749911739101,"EOAD_vs_CN",79,"study_4"
"IGHM",0.563860542140796,0.390996700629842,2.07968339275199,0.193023346888944,0.426396884923347,"EOAD_vs_CN",79,"study_4"
"LAMA2",0.0788396667381441,0.0426810768213123,3.41207700400982,0.10049474232592,0.315553880424437,"EOAD_vs_CN",79,"study_4"
"APLP2",-0.136623027118793,0.096848432688061,1.99004370113325,0.197668809188225,0.4284750795659,"EOAD_vs_CN",79,"study_4"
"AGA",0.0828508883605492,0.18744527801203,0.195364355963468,0.673058707964374,0.795623081929365,"EOAD_vs_CN",78,"study_4"
"CFI",0.334741573121015,0.138111298688869,5.87436445633001,0.0458567085320643,0.23096129914898,"EOAD_vs_CN",79,"study_4"
"CD44",0.148032747498259,0.0925878898557907,2.55627296422198,0.155495503201011,0.392979544453464,"EOAD_vs_CN",79,"study_4"
"IGSF8",-0.0138286550689699,0.0282960918510615,0.238839951878165,0.6330617626861,0.767682312003209,"EOAD_vs_CN",79,"study_4"
"CNTNAP4",-0.0949635793542996,0.129896840988391,0.534462172153864,0.488907424868321,0.677042411523753,"EOAD_vs_CN",79,"study_4"
"C1QC",0.1573786265509,0.0548794349908473,8.22379429965971,0.0214475299657804,0.179320701668781,"EOAD_vs_CN",79,"study_4"
"C1R",0.0406438155230635,0.0662630588263002,0.376223555388281,0.559149995422712,0.722993947569833,"EOAD_vs_CN",79,"study_4"
"CPN2",0.498219934270108,0.203944618316798,5.96784728100656,0.0448870568204465,0.23096129914898,"EOAD_vs_CN",79,"study_4"
"AMBP",0.413769530824664,0.180977600093634,5.22717890135196,0.058271868044409,0.250396553580068,"EOAD_vs_CN",79,"study_4"
"C5",0.510784748305939,0.182135486619646,7.86478221976471,0.0267549103692029,0.198321867254426,"EOAD_vs_CN",79,"study_4"
"HEXA",-0.0735778076639413,0.0822324370314537,0.800584844563554,0.397131227342909,0.619585726549682,"EOAD_vs_CN",79,"study_4"
"DBI",0.140212594778005,0.093577254289278,2.24508845524446,0.180050537446004,0.41798788651348,"EOAD_vs_CN",79,"study_4"
"C1QA",0.0723665091601413,0.0683198579120903,1.12197024140882,0.32390375396849,0.559534533532764,"EOAD_vs_CN",79,"study_4"
"NRXN3",-0.231936225130919,0.0750063899755868,9.56182171848041,0.0164559419419852,0.151503701098424,"EOAD_vs_CN",79,"study_4"
"IGHV3-30",0.270260417078568,0.230149526677772,1.37893791543315,0.279501147185627,0.51714688131517,"EOAD_vs_CN",79,"study_4"
"C6",0.543581270373846,0.152551056481486,12.6969242684572,0.00833499458277097,0.117322961722042,"EOAD_vs_CN",79,"study_4"
"CLEC3B",0.18933535606563,0.0600206746257623,9.95088475136186,0.013568484022045,0.131865581356783,"EOAD_vs_CN",79,"study_4"
"SPARCL1",-0.133437647149606,0.10093877462617,1.74759460314922,0.230581844580935,0.458688749864043,"EOAD_vs_CN",79,"study_4"
"GAP43",0.301604754450673,0.0617652088443925,23.8445174760827,0.000654099393142655,0.0275384874999853,"EOAD_vs_CN",79,"study_4"
"MCAM",-0.121242209108164,0.0643920969004057,3.54521473666242,0.0952855858863218,0.308023829033728,"EOAD_vs_CN",79,"study_4"
"SCG2",-0.417832572394573,0.0973660069652964,18.4157693047964,0.00372937092525905,0.0799932359889286,"EOAD_vs_CN",79,"study_4"
"LMAN1",-0.0820146066340461,0.0708612169247748,1.33956934273842,0.278382056847638,0.51679607214453,"EOAD_vs_CN",79,"study_4"
"ADGRB2",-0.327814907476233,0.0913378127184821,12.881195871036,0.00702338538862717,0.110280378255723,"EOAD_vs_CN",70,"study_4"
"LTBP4",-0.102837270456522,0.0899378151112299,1.30742388899157,0.290876800455015,0.524238253008067,"EOAD_vs_CN",79,"study_4"
"IGHG3",0.347360768958353,0.361756726833542,0.921994443985963,0.371470690068974,0.600611151561447,"EOAD_vs_CN",79,"study_4"
"PON1",0.176228156344159,0.204547687186959,0.742269214975571,0.414020428322218,0.628949065975828,"EOAD_vs_CN",79,"study_4"
"AXL",-0.0172696939192472,0.070173001823437,0.0605660388617737,0.812839079676245,0.887894947544189,"EOAD_vs_CN",56,"study_4"
"CADM1",-0.100116897479589,0.0570236651851963,3.08251010862766,0.117791047406753,0.349289719243493,"EOAD_vs_CN",79,"study_4"
"APOD",0.0270329443230608,0.0972048640945138,0.0773411641907435,0.788651448561315,0.870877599138437,"EOAD_vs_CN",79,"study_4"
"SPON1",0.0881137017828735,0.0578533294599587,2.31969121947716,0.17084781653306,0.413905821317566,"EOAD_vs_CN",79,"study_4"
"MGAT1",-0.119698038337285,0.160041638256578,0.559381487406345,0.481147495672868,0.670160832252687,"EOAD_vs_CN",79,"study_4"
"SERPINF2",0.40493471804476,0.137884211170248,8.62463946830739,0.0210663560382912,0.178822808508243,"EOAD_vs_CN",79,"study_4"
"CP",0.383214673047535,0.147745447900019,6.72753616783387,0.0356041170325738,0.21807486145177,"EOAD_vs_CN",79,"study_4"
"PCSK1",-0.623816257663853,0.202903116770352,9.45226614643631,0.032933515087293,0.217196409003323,"EOAD_vs_CN",76,"study_4"
"CPB2",0.517250886523728,0.14669247210178,12.4333120135338,0.00901468066974754,0.121480316376723,"EOAD_vs_CN",79,"study_4"
"SPARC",-0.0329921460997085,0.0786462080963571,0.17598090931985,0.687022409819096,0.802488361049196,"EOAD_vs_CN",79,"study_4"
"LYVE1",-0.107404522986508,0.0599465170108845,3.21009016717145,0.0966804322167552,0.310433225587816,"EOAD_vs_CN",79,"study_4"
"IGKC",0.339875255980726,0.188568222965198,3.24864367452736,0.112938416351189,0.339425726979791,"EOAD_vs_CN",79,"study_4"
"IGHG4",0.373540817026175,0.38615252207432,0.935746857582505,0.358565335869685,0.592470383049134,"EOAD_vs_CN",79,"study_4"
"CNDP1",-0.0355853115598421,0.096260357294465,0.136661633169176,0.722178325184752,0.82619577942947,"EOAD_vs_CN",79,"study_4"
"EFNB2",-0.142435736789762,0.0520448694890055,7.49000461418098,0.0264691583710573,0.198321867254426,"EOAD_vs_CN",79,"study_4"
"PRRT2",0.166277239338744,0.0706107447361311,5.54528698015143,0.0468018074715139,0.231730586442601,"EOAD_vs_CN",42,"study_4"
"RNASET2",0.101115829146657,0.11466908582165,0.777580918131433,0.408704722453371,0.626868484645723,"EOAD_vs_CN",79,"study_4"
"PNOC",-0.524821409596406,0.108691856325851,23.3146593646162,0.00118477302375211,0.0365963222892319,"EOAD_vs_CN",79,"study_4"
"PLTP",-0.0681775277922867,0.137466709120029,0.245972993271754,0.636872424177424,0.769120918554674,"EOAD_vs_CN",79,"study_4"
"ATRN",0.141106114376278,0.0749546713688944,3.54400443787188,0.101130632390565,0.315891188815472,"EOAD_vs_CN",79,"study_4"
"LGALS1",0.0883119460004291,0.0987307098962371,0.80008179783428,0.403461444222273,0.624157396104564,"EOAD_vs_CN",79,"study_4"
"OMG",-0.168083604134972,0.113550408390108,2.19115602167892,0.184148686274357,0.422609549586173,"EOAD_vs_CN",79,"study_4"
"FAT2",-0.182856917125363,0.08257765925063,4.90340370247165,0.0531252927723664,0.244309825422506,"EOAD_vs_CN",79,"study_4"
"AHSG",0.323707828961039,0.176502228017754,3.36361299954531,0.110071194626719,0.333883308711607,"EOAD_vs_CN",79,"study_4"
"IGFBP6",0.0774938662595179,0.0993565469107199,0.608333424264901,0.460436627272492,0.656521449507206,"EOAD_vs_CN",79,"study_4"
"CFHR2",0.554891552076759,0.320469300358487,2.99808099559842,0.129908886188119,0.362080618906046,"EOAD_vs_CN",79,"study_4"
"IGHV3-72",0.405756762390459,0.823698806164344,0.242658025844167,0.639336810967483,0.769418326618876,"EOAD_vs_CN",73,"study_4"
"NPPC",-0.158164210883555,0.0923893282826114,2.93070981396574,0.152768362003304,0.391839671204357,"EOAD_vs_CN",72,"study_4"
"CPE",-0.133411474794762,0.060440359170503,4.87228066010397,0.0581297049332833,0.250396553580068,"EOAD_vs_CN",79,"study_4"
"HSPA8",0.166680184069978,0.0569444008536211,8.56773227361136,0.0166648896263261,0.151503701098424,"EOAD_vs_CN",79,"study_4"
"C4BPA",0.744055965937028,0.385859582728804,3.71837020050008,0.100310885497233,0.315553880424437,"EOAD_vs_CN",79,"study_4"
"VTN",0.278602438756231,0.153750417655786,3.28350150024037,0.110392109501426,0.333883308711607,"EOAD_vs_CN",79,"study_4"
"SEMA6A",-0.158899069094872,0.129496057376709,1.50566936295946,0.26144839622331,0.499537141924949,"EOAD_vs_CN",79,"study_4"
"WFDC1",-0.271730081708307,0.139555857588396,3.7912227257354,0.0880357713845141,0.293101131076586,"EOAD_vs_CN",79,"study_4"
"NPTX1",-0.284101400410369,0.0588906050221411,23.2731257807926,0.000992860947046045,0.0356148830037162,"EOAD_vs_CN",79,"study_4"
"PTN",0.114278972732754,0.0935105751024235,1.49352053979441,0.258915833432058,0.495549753487864,"EOAD_vs_CN",79,"study_4"
"DCN",0.0666592566205981,0.114132791967858,0.341114397093798,0.575933568030315,0.732766736441316,"EOAD_vs_CN",79,"study_4"
"MEGF10",-0.0642772483322549,0.0826467754326818,0.604870948058088,0.463541151479459,0.657525766797822,"EOAD_vs_CN",79,"study_4"
"PSAP",-0.0671366744495234,0.0685124667662523,0.960241433309718,0.360443136724505,0.59379669338911,"EOAD_vs_CN",79,"study_4"
"GGH",-0.0245981078819995,0.0956593328357886,0.0661224152396441,0.804135194676087,0.881787972728237,"EOAD_vs_CN",79,"study_4"
"F10",0.230272740652457,0.109691635597897,4.40694910800382,0.0754440314364412,0.280224523269851,"EOAD_vs_CN",79,"study_4"
"KRT2",-0.500549836109656,0.438314144021959,1.30413838157298,0.285245925546138,0.520168761059651,"EOAD_vs_CN",76,"study_4"
"GALNT2",-0.00248140291885157,0.0301694887890292,0.00676485784608867,0.93659414298757,0.965238820205911,"EOAD_vs_CN",79,"study_4"
"NTNG1",-0.31312242841638,0.129679718371505,5.83021050499439,0.0492389283222437,0.238869231202194,"EOAD_vs_CN",79,"study_4"
"CD55",-0.0173892654099657,0.0572151329259974,0.0923720644055274,0.76982833069765,0.856049103735787,"EOAD_vs_CN",79,"study_4"
"CD99L2",-0.052755978398646,0.0756687330763193,0.486083006388901,0.506618241571145,0.685892910295343,"EOAD_vs_CN",79,"study_4"
"IGHA1",0.268450237054859,0.381582543028851,0.494937759026885,0.506027708899495,0.685892910295343,"EOAD_vs_CN",79,"study_4"
"ACYP2",0.196619951502898,0.113485018288649,3.0017747859618,0.136505816907729,0.368082418651957,"EOAD_vs_CN",64,"study_4"
"EFEMP2",-0.0499449136593535,0.121617158467531,0.168652517831496,0.694513795702423,0.808690409236749,"EOAD_vs_CN",79,"study_4"
"CHI3L1",0.259203069972909,0.133960199131021,3.74393855929688,0.0952879471111534,0.308023829033728,"EOAD_vs_CN",79,"study_4"
"FAM3C",-0.109071322988571,0.063587460591355,2.94224070135879,0.127279117885851,0.362080618906046,"EOAD_vs_CN",79,"study_4"
"CRTAC1",-0.108883113783774,0.0811090662383035,1.80211400144675,0.222472600503378,0.451933959119917,"EOAD_vs_CN",79,"study_4"
"IL6ST",-0.137175358982622,0.0534389216764488,6.58926294758583,0.0360261955976518,0.21807486145177,"EOAD_vs_CN",79,"study_4"
"PRSS1",-0.104107073338136,0.137284753001149,0.575063577952476,0.472391657670296,0.664095478292502,"EOAD_vs_CN",79,"study_4"
"CTSH",-0.133091407840144,0.158258030537111,0.707242783147489,0.426984697716497,0.633921206756669,"EOAD_vs_CN",79,"study_4"
"SEMA6D",-0.142982837152683,0.0673837870838272,4.50253388456768,0.071849866612,0.273620039974466,"EOAD_vs_CN",79,"study_4"
"TIMP1",0.021313859253123,0.0670733609241848,0.100977368800267,0.758319759258468,0.848182285924621,"EOAD_vs_CN",79,"study_4"
"IDS",-0.102650137167064,0.139499563345989,0.541468718312243,0.487258781790407,0.676444151499291,"EOAD_vs_CN",79,"study_4"
"SELL",0.213487879326228,0.076294735660765,7.82991957240195,0.0243069390511926,0.190347297358635,"EOAD_vs_CN",72,"study_4"
"PROS1",0.102538024295727,0.0508791235340091,4.061539185762,0.0722245222126674,0.274108084302,"EOAD_vs_CN",79,"study_4"
"CYCS",0.116530503324717,0.0466900417015523,6.22917771055871,0.0347238106995648,0.217196409003323,"EOAD_vs_CN",79,"study_4"
"ADAMTS4",0.0646191097900077,0.0556513103078746,1.34825224793837,0.271490185773212,0.509926004481828,"EOAD_vs_CN",65,"study_4"
"NELL2",-0.214128126312074,0.0900099207199552,5.65935158633624,0.0470963242230465,0.231730586442601,"EOAD_vs_CN",79,"study_4"
"TAFA5",-0.152280030268587,0.0363061484806401,17.5924185924648,0.000666655790263853,0.0275384874999853,"EOAD_vs_CN",74,"study_4"
"TNFRSF21",-0.0605140925761418,0.0691765976136322,0.76523469971478,0.407526199227899,0.625924217598652,"EOAD_vs_CN",79,"study_4"
"CTSB",-0.0291532370635466,0.0815679406438329,0.127742253364594,0.731421565225364,0.833340963658407,"EOAD_vs_CN",79,"study_4"
"LAMP1",0.0726750041149726,0.104006431078128,0.488258420588321,0.50856787599962,0.687153679357932,"EOAD_vs_CN",79,"study_4"
"IGFBP7",0.0939219687842208,0.133471159695339,0.495175908870231,0.503294555442093,0.684185263632772,"EOAD_vs_CN",79,"study_4"
"SEZ6L2",-0.0731691892019786,0.035560827125776,4.23362880524185,0.0586858636292541,0.250396553580068,"EOAD_vs_CN",79,"study_4"
"COL3A1",0.0357902724075672,0.0813726540894825,0.193451920280518,0.673115928464234,0.795623081929365,"EOAD_vs_CN",79,"study_4"
"KIT",-0.151406217621044,0.0755525184361115,4.01596139533091,0.0843302217990132,0.287796122573842,"EOAD_vs_CN",79,"study_4"
"HSPG2",-0.0407501929067635,0.0319046849374675,1.63136228374328,0.223510915765467,0.452195010003777,"EOAD_vs_CN",79,"study_4"
"IGFBP2",0.0746910994016083,0.0543078435154415,1.89152718837998,0.202731271952996,0.433061979712898,"EOAD_vs_CN",79,"study_4"
"PRELP",-0.0648572596159021,0.0646154835716508,1.00749753358171,0.342771253070066,0.578298112718049,"EOAD_vs_CN",79,"study_4"
"C1QB",0.13170673361516,0.0695896931603281,3.58200440201181,0.0992373169458923,0.313499705806341,"EOAD_vs_CN",79,"study_4"
"GDA",0.365460403681386,0.110865531113889,10.8664472334603,0.0122873547316202,0.131865581356783,"EOAD_vs_CN",79,"study_4"
"NTM",-0.0753656062666401,0.0526786655968001,2.04680685869135,0.192085773709769,0.426283493009268,"EOAD_vs_CN",79,"study_4"
"NECTIN1",-0.182000362807075,0.0398331485155633,20.8763820640927,0.000668650325988851,0.0275384874999853,"EOAD_vs_CN",79,"study_4"
"ALCAM",-0.100216850657022,0.0469293274750018,4.56029398045831,0.0679773234460709,0.269006347587298,"EOAD_vs_CN",79,"study_4"
"APOC3",0.171923907177876,0.286703051395498,0.359590255685,0.568453579831724,0.727411255204692,"EOAD_vs_CN",79,"study_4"
"WFIKKN2",0.0376017460227587,0.0989761522917785,0.144329427940301,0.713430904171324,0.819866269606406,"EOAD_vs_CN",79,"study_4"
"TGFBI",0.0652441565670525,0.0931268001765904,0.490833143340286,0.507017960667961,0.685892910295343,"EOAD_vs_CN",79,"study_4"
"DNER",-0.10481417323986,0.0538348199429731,3.79064833783463,0.0830935423874106,0.287796122573842,"EOAD_vs_CN",79,"study_4"
"CDH2",-0.0466491631995307,0.0692494263704455,0.453790453084882,0.523286546232974,0.698991946741648,"EOAD_vs_CN",79,"study_4"
"C1S",0.0353591664391786,0.044731471757525,0.624852715502805,0.451885692829153,0.65246349864727,"EOAD_vs_CN",79,"study_4"
"CHGB",-0.35778818861071,0.0518977062365857,47.5286711462206,8.85423971321052e-05,0.0140655922301287,"EOAD_vs_CN",79,"study_4"
"ALDOC",0.106137083097975,0.0467163680262322,5.16174034134247,0.0497355903360275,0.239419811487717,"EOAD_vs_CN",79,"study_4"
"LYNX1",-0.0931327002087246,0.10530180529591,0.782226916142203,0.40525327337005,0.624157396104564,"EOAD_vs_CN",79,"study_4"
"ICAM5",-0.161312231741183,0.104739294816814,2.37200340527802,0.166529579790418,0.409960807442848,"EOAD_vs_CN",79,"study_4"
"HPX",0.41703189957814,0.158239508689878,6.94558292568918,0.0339197032838626,0.217196409003323,"EOAD_vs_CN",79,"study_4"
"LAMB1",0.0687663437366002,0.0541469199931768,1.61288852341149,0.244126588872897,0.476993850040552,"EOAD_vs_CN",79,"study_4"
"MOG",-0.053908968071279,0.0818310724177821,0.433995825060239,0.531427210979366,0.703376808950827,"EOAD_vs_CN",79,"study_4"
"STC2",-0.179340549453662,0.110117500556713,2.65243226107777,0.148384263703337,0.383728607530491,"EOAD_vs_CN",79,"study_4"
"CHGA",-0.272670655964841,0.142983923087094,3.63665739275535,0.097002634231266,0.310433225587816,"EOAD_vs_CN",79,"study_4"
"HYOU1",-0.108968028580414,0.0588088319570271,3.43331048916235,0.108391397481166,0.333020173631092,"EOAD_vs_CN",79,"study_4"
"IGHG2",0.514336276618131,0.150339633431184,11.7043510518267,0.00731117512389776,0.110280378255723,"EOAD_vs_CN",79,"study_4"
"ITIH5",-0.0870888106282752,0.0613711442759706,2.01370698793301,0.19392773174386,0.426481588406176,"EOAD_vs_CN",79,"study_4"
"GPI",0.449000757758334,0.192378731923575,5.44728417755606,0.0563102923678602,0.250396553580068,"EOAD_vs_CN",78,"study_4"
"APCS",0.571798768924794,0.278672336836087,4.21016108904102,0.0798560111390459,0.285498544130573,"EOAD_vs_CN",79,"study_4"
"MST1",0.544790965673583,0.253360250590454,4.62362745824589,0.0699211519070598,0.269973336530036,"EOAD_vs_CN",78,"study_4"
"GPR158",-0.127847435649845,0.114346359517358,1.25008446470775,0.310803928456991,0.543432442628694,"EOAD_vs_CN",43,"study_4"
"HP",0.734812482750591,0.652173749647593,1.26948163416789,0.299517881177945,0.533489685663576,"EOAD_vs_CN",79,"study_4"
"COL18A1",-0.108722831127004,0.132808916702009,0.670173170085273,0.441696506126507,0.645422489898392,"EOAD_vs_CN",79,"study_4"
"RTN4R",-0.237301154960878,0.0939543245348651,6.37919906512658,0.0373959989980654,0.221733095065442,"EOAD_vs_CN",79,"study_4"
"GRIA4",-0.241866631850466,0.0967633317417316,6.24784557283047,0.0385464268014524,0.223045203640253,"EOAD_vs_CN",79,"study_4"
"MEGF8",-0.164128785128671,0.0924066844688359,3.15473390633002,0.1192021112842,0.351598800392653,"EOAD_vs_CN",79,"study_4"
"SERPIND1",0.115716206922498,0.14868604825977,0.60568656534741,0.463579317598464,0.657525766797822,"EOAD_vs_CN",79,"study_4"
"COCH",0.0964228268474123,0.146183009927936,0.435076793983209,0.530967998550068,0.703376808950827,"EOAD_vs_CN",79,"study_4"
"CBLN1",-0.154102243108068,0.111972090710256,1.894080121182,0.210983460092297,0.439089440775495,"EOAD_vs_CN",79,"study_4"
"CD59",-0.0856909618233219,0.0586395956006062,2.13544358157095,0.184447449844412,0.422609549586173,"EOAD_vs_CN",79,"study_4"
"KRT10",-1.05542893959087,0.630117802534312,2.80552728604097,0.134843633764967,0.368082418651957,"EOAD_vs_CN",79,"study_4"
"ATP6AP1",-0.234609287997596,0.057266458304108,16.7837790561169,0.00364322592819454,0.0799932359889286,"EOAD_vs_CN",79,"study_4"
