"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",-0.289390401147313,0.0768687115245704,14.1732367184262,0.000212576382228277,0.00501522798071897,"EOAD_vs_LOAD",230,"study_8"
"CXCL16",-0.0990762880039755,0.0457678370251042,4.68617688272096,0.0315439463287346,0.0663151610937423,"EOAD_vs_LOAD",230,"study_8"
"NCAN",0.0252174653217647,0.0124322832355365,4.11434847893463,0.0436848161730802,0.0843249330371275,"EOAD_vs_LOAD",230,"study_8"
"DPP7",0.0170907390094026,0.0746558181565073,0.0524076113538454,0.819131240491436,0.837538684097985,"EOAD_vs_LOAD",230,"study_8"
"ICOSLG",-0.216398378311521,0.0615477910220841,12.3618384188825,0.000528566522942984,0.00670303755824275,"EOAD_vs_LOAD",230,"study_8"
"NUCB2",-0.254467652423744,0.0732117427184348,12.0810220461725,0.000610323670923202,0.00670303755824275,"EOAD_vs_LOAD",230,"study_8"
"PDGFB",-0.163224985878144,0.0670256869619459,5.9304920994273,0.0156514938311637,0.0408606621739805,"EOAD_vs_LOAD",230,"study_8"
"AMBP",-0.00779338681339348,0.065618985896005,0.014105660797398,0.905572208537709,0.917089820093037,"EOAD_vs_LOAD",230,"study_8"
"SPARCL1",-0.144669941367938,0.0498547901309654,8.42059589689867,0.00407748253385029,0.0175495907992741,"EOAD_vs_LOAD",230,"study_8"
"AXL",-0.138180725685498,0.0602184172985735,5.26545935207307,0.022676009588717,0.051851837084532,"EOAD_vs_LOAD",230,"study_8"
"SPON1",-0.200520092380705,0.0909280520951726,4.8631763346795,0.0284481411877634,0.0608452574270471,"EOAD_vs_LOAD",230,"study_8"
"SPARC",-0.0518622530474735,0.0211224916652275,6.02854441488861,0.0148420880681267,0.0392567144152568,"EOAD_vs_LOAD",230,"study_8"
"LYVE1",-0.227678768384221,0.0602143417164629,14.2970086912479,0.000200314913399615,0.00493156882646538,"EOAD_vs_LOAD",230,"study_8"
"CNDP1",-0.0785763286881735,0.0443727604033948,3.13581601229739,0.077961313735536,0.126044052917605,"EOAD_vs_LOAD",230,"study_8"
"PLTP",-0.104838605183625,0.0578270858650706,3.28684976972585,0.0712334867542429,0.119586369088334,"EOAD_vs_LOAD",230,"study_8"
"OMG",0.00751137936656221,0.0133085795279777,0.318548808766383,0.573041254278506,0.623978254658818,"EOAD_vs_LOAD",230,"study_8"
"IGFBP6",-0.0895669493330011,0.0704710052188792,1.61537974022156,0.205081508967265,0.267151168123002,"EOAD_vs_LOAD",230,"study_8"
"NPPC",-0.0673326462942434,0.0182145586148176,13.6651393081415,0.000275136602889151,0.00537277238723771,"EOAD_vs_LOAD",230,"study_8"
"PTN",0.0241949313163365,0.0414994371589719,0.33991033849892,0.560467611592503,0.612380563609648,"EOAD_vs_LOAD",230,"study_8"
"DCN",0.0221195263796341,0.0373708877469829,0.350336041127397,0.55451032667674,0.607957105151607,"EOAD_vs_LOAD",230,"study_8"
"GALNT2",-0.121699501531381,0.0523610319887338,5.40208239285424,0.0209958399289171,0.049718773363272,"EOAD_vs_LOAD",230,"study_8"
"CD99L2",-0.0641435175735037,0.0259968562576317,6.08784910540239,0.0143768058301977,0.0388051920077794,"EOAD_vs_LOAD",230,"study_8"
"CHI3L1",0.0862589276645505,0.020216498028955,18.2052335253067,2.91222151368562e-05,0.00231885638027217,"EOAD_vs_LOAD",230,"study_8"
"FAM3C",0.031524388435594,0.012184141585003,6.69427372095282,0.0103039434005743,0.0323330637742159,"EOAD_vs_LOAD",230,"study_8"
"CRTAC1",-0.301716145062533,0.0780744094004147,14.9341216657957,0.000145174670310185,0.00458760807131976,"EOAD_vs_LOAD",230,"study_8"
"CTSH",-0.0287337118415261,0.108476945220538,0.0701630679614526,0.791348926291778,0.819657343167256,"EOAD_vs_LOAD",230,"study_8"
"TIMP1",-0.101508054068725,0.0532793128829777,3.62980900762128,0.0580347761799046,0.104337645850254,"EOAD_vs_LOAD",230,"study_8"
"SELL",-0.103718072987845,0.0678188529893361,2.33888031049822,0.127604880964947,0.181438190122034,"EOAD_vs_LOAD",230,"study_8"
"TAFA5",-0.0245518416760184,0.0154849280267361,2.51391024283212,0.1143749196058,0.170226223805828,"EOAD_vs_LOAD",230,"study_8"
"TNFRSF21",-0.0239391516559895,0.0163764767903237,2.13686243271193,0.145351858481357,0.201719245866284,"EOAD_vs_LOAD",230,"study_8"
"IGFBP7",-0.0607508301314894,0.0421811126147745,2.07428473600894,0.151246500967964,0.208086438696745,"EOAD_vs_LOAD",230,"study_8"
"SEZ6L2",-0.0475923647715006,0.026308302436444,3.27256979433052,0.0717666840886406,0.1199878681482,"EOAD_vs_LOAD",230,"study_8"
"KIT",-0.208180217973932,0.059514252599206,12.235929047041,0.00056655362646557,0.00670303755824275,"EOAD_vs_LOAD",230,"study_8"
"IGFBP2",-0.0348946208419836,0.0431909633067029,0.652726412358714,0.420130055395295,0.477046070029952,"EOAD_vs_LOAD",230,"study_8"
"PRELP",-0.0546288368578089,0.0356134171666561,2.35297121111978,0.126558810309608,0.18035338292443,"EOAD_vs_LOAD",230,"study_8"
"ALCAM",-0.160309505429554,0.0634879952259769,6.37580934002464,0.0122677778886429,0.0350697416981527,"EOAD_vs_LOAD",230,"study_8"
"WFIKKN2",-0.154403551177586,0.0846880077319913,3.32407440703747,0.069620901111627,0.119059795594356,"EOAD_vs_LOAD",230,"study_8"
"TGFBI",-0.159524277889306,0.0731470099070541,4.75620340186259,0.0302264965881821,0.0639677020819667,"EOAD_vs_LOAD",230,"study_8"
"DNER",-0.00928452991644413,0.0137295316868207,0.457307571999079,0.499602791179914,0.551554554560841,"EOAD_vs_LOAD",230,"study_8"
"CDH2",-0.138463427537191,0.0565022168399378,6.00536185298668,0.0150188579482272,0.0393704218642829,"EOAD_vs_LOAD",230,"study_8"
"MOG",0.0480984087959637,0.0159821244767286,9.05716752387001,0.00291204867804102,0.0144919922493135,"EOAD_vs_LOAD",230,"study_8"
"COL18A1",-0.12420619676936,0.0666359968656281,3.47431130385802,0.0636199930125347,0.110726599860614,"EOAD_vs_LOAD",230,"study_8"
"RTN4R",-0.0748181855772501,0.0450768476072902,2.75490908069217,0.0983678288811159,0.152458167876571,"EOAD_vs_LOAD",230,"study_8"
"COCH",-0.0839286950756826,0.100062013258571,0.703529751710078,0.402483374787688,0.461118542697405,"EOAD_vs_LOAD",230,"study_8"
"CD59",-0.174275971721505,0.0488469258073075,12.7291836673378,0.000438740853204742,0.006578605774669,"EOAD_vs_LOAD",230,"study_8"
"TGFBR3",-0.159498103381317,0.0682356365462879,5.46372146998822,0.0202841582000175,0.0484609381798545,"EOAD_vs_LOAD",230,"study_8"
"CLSTN2",-0.132640424814465,0.0506648649815974,6.85390418786791,0.00943728057546472,0.0308284498798514,"EOAD_vs_LOAD",230,"study_8"
"APLP1",0.0830827650343249,0.0325050146207248,6.53312776918342,0.011248099072379,0.0335209627934389,"EOAD_vs_LOAD",230,"study_8"
"BCAN",0.0145858291415788,0.0109722583578563,1.76713689177697,0.185080476530287,0.246644902823834,"EOAD_vs_LOAD",230,"study_8"
"NBL1",0.0874904244999613,0.038370273183413,5.19913704163449,0.0235589613197609,0.0532165190095309,"EOAD_vs_LOAD",230,"study_8"
"SOD1",-0.0550413677122545,0.0321321379491318,2.93426402127238,0.0880855433701296,0.140627797310207,"EOAD_vs_LOAD",230,"study_8"
"COL1A1",-0.0576324337556002,0.0458772040498282,1.57812004033586,0.210516654997699,0.273671651497008,"EOAD_vs_LOAD",230,"study_8"
"DDR1",-0.0811511765131101,0.0471087165404893,2.96747518976067,0.0864067343970666,0.138294195504853,"EOAD_vs_LOAD",230,"study_8"
"TPP1",-0.155430678998242,0.0616489132939527,6.3565671232813,0.0124337939466835,0.0353248309013712,"EOAD_vs_LOAD",230,"study_8"
"KLK6",0.0664480781431092,0.0289814439766485,5.25684060660498,0.0227920163008932,0.051851837084532,"EOAD_vs_LOAD",230,"study_8"
"PCOLCE",-0.103756975124379,0.0621621965377582,2.78600505389257,0.0965112376163865,0.150680535200094,"EOAD_vs_LOAD",230,"study_8"
"NRCAM",0.0118711390556534,0.0131309743152945,0.817317655977881,0.366930846822178,0.431245294143408,"EOAD_vs_LOAD",230,"study_8"
"CNTN2",0.0193758442690921,0.0148155874231574,1.71034420088119,0.192272176101448,0.254630719701917,"EOAD_vs_LOAD",230,"study_8"
"NCAM1",-0.161446733453712,0.060466429008475,7.12902081343078,0.0081306148719722,0.0275489450715228,"EOAD_vs_LOAD",230,"study_8"
"PTPRS",-0.194840912860026,0.0605043987568035,10.3701828012034,0.00146748596796077,0.01004820759838,"EOAD_vs_LOAD",230,"study_8"
"RARRES2",-0.0609819076916143,0.0406473816133319,2.25079977361125,0.1350739200743,0.189520015610857,"EOAD_vs_LOAD",230,"study_8"
"DPP6",-0.101012063125296,0.0442841612111693,5.20294981268215,0.0234952020270058,0.0532165190095309,"EOAD_vs_LOAD",230,"study_8"
"NID2",-0.105287793183014,0.0712189032201855,2.18557383935136,0.140796063983676,0.196251844108538,"EOAD_vs_LOAD",230,"study_8"
"CHL1",-0.224099878211299,0.0674640733485363,11.0341306527805,0.00104240297447936,0.00922237076032437,"EOAD_vs_LOAD",230,"study_8"
"GFRA2",-0.0728797955897869,0.0274603291734493,7.04373184330063,0.00853298201972398,0.0286079449819167,"EOAD_vs_LOAD",230,"study_8"
"VCAN",-0.105276696779069,0.0603698669980045,3.04105350666237,0.0825704656646684,0.132487119970765,"EOAD_vs_LOAD",230,"study_8"
"ENO2",-0.0644623122254417,0.0398291343132174,2.61944946560034,0.106954903598216,0.160898944557555,"EOAD_vs_LOAD",230,"study_8"
"SEZ6L",-0.041481772567006,0.0134894558248576,9.456398198904,0.00236409413927099,0.0130950257975271,"EOAD_vs_LOAD",230,"study_8"
"CTSF",-0.133116887680376,0.0732100605773181,3.3061669320302,0.0704331616984515,0.119324265962536,"EOAD_vs_LOAD",230,"study_8"
"SELENOP",-0.225181047786102,0.120978174660582,3.46457219957986,0.0639851071135994,0.111058619159027,"EOAD_vs_LOAD",230,"study_8"
