"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"MT3",-0.112122204338636,0.0344501388620226,10.5925689911826,0.00143144776608731,0.0508657559638955,"EOD_vs_LOD",234,"study_1"
"NFASC",-0.013365866839721,0.0170945710190529,0.611333009338669,0.435573679799905,0.748721729831196,"EOD_vs_LOD",234,"study_1"
"ALDOA",0.0445770876109958,0.0270388891589647,2.71797645966643,0.101651782534974,0.402446462711057,"EOD_vs_LOD",234,"study_1"
"LSAMP",-0.0346976608936508,0.0247269557599703,1.96906064834903,0.162850276619685,0.492132580811101,"EOD_vs_LOD",234,"study_1"
"PARK7",0.0797962679251326,0.0201975659442074,15.608712818373,0.000118611958835327,0.0240624591432968,"EOD_vs_LOD",234,"study_1"
"YWHAZ",0.0871640621692754,0.0257949845967322,11.4183769955497,0.000908180272007913,0.0389949904293398,"EOD_vs_LOD",234,"study_1"
"CXCL16",0.0159935527980361,0.0273847913056637,0.341091601018349,0.560023095634841,0.834568040566455,"EOD_vs_LOD",234,"study_1"
"SELENBP1",0.0113717532288987,0.0262711807516821,0.187368106783621,0.66565189422903,0.883961697168834,"EOD_vs_LOD",234,"study_1"
"PROCR",-0.070990229142975,0.0338437517083889,4.39987314740396,0.037510442781078,0.266242925201374,"EOD_vs_LOD",234,"study_1"
"NCAN",-0.0744575772828039,0.0323267111898792,5.30511442393051,0.0226242576210429,0.206743498996597,"EOD_vs_LOD",234,"study_1"
"NICOL1",-0.0985144457039749,0.0365816717213458,7.25224955335612,0.00796678588611359,0.131335063421636,"EOD_vs_LOD",234,"study_1"
"DPP7",-0.0178783358989765,0.046049624160014,0.150730800336838,0.698317056487871,0.898396662560238,"EOD_vs_LOD",234,"study_1"
"ICOSLG",0.0287945435289778,0.0295626147468674,0.948712687882502,0.331505884400824,0.662690230601453,"EOD_vs_LOD",234,"study_1"
"PAPLN",0.0197855261547869,0.0309146636981757,0.409605854090151,0.523062424589551,0.808386895138894,"EOD_vs_LOD",234,"study_1"
"FOLR2",0.032143061104048,0.0307207710797868,1.09473812645103,0.297352540636197,0.635071073835442,"EOD_vs_LOD",234,"study_1"
"GC",0.0387220942994627,0.0475732171130858,0.662510298813405,0.41694838755973,0.734470621162909,"EOD_vs_LOD",234,"study_1"
"HBA1",-0.0118169682444473,0.158872949467952,0.00553238277358737,0.940790406304039,0.98134955412764,"EOD_vs_LOD",234,"study_1"
"IGLV3-19",-0.0546317981875139,0.0768347389240349,0.505563545601567,0.478170935620082,0.779059524358094,"EOD_vs_LOD",234,"study_1"
"FBLN5",0.0907817168487228,0.0182575518575777,24.7235993899042,1.66962518678998e-06,0.00172054875498707,"EOD_vs_LOD",234,"study_1"
"LAMP2",0.0575004759404905,0.0277497838766039,4.29362062756107,0.0396690923409681,0.273533435550472,"EOD_vs_LOD",234,"study_1"
"NUCB2",0.0121397144276623,0.0296643163060144,0.167474332146608,0.683009132129606,0.89143720466645,"EOD_vs_LOD",234,"study_1"
"PDGFB",-0.0388915178564906,0.0260733349224524,2.22493137079973,0.138507683691776,0.457419622335459,"EOD_vs_LOD",234,"study_1"
"ITIH2",0.0435330484946961,0.0604132148933846,0.519247323407671,0.472287328974431,0.774085974978171,"EOD_vs_LOD",234,"study_1"
"CSF1R",-0.012303029425101,0.0265491697741986,0.214744592195508,0.643687732536713,0.873199073518682,"EOD_vs_LOD",234,"study_1"
"PGLYRP2",0.0182950315702535,0.0522539591767762,0.122582344453536,0.72676527612122,0.906817974837943,"EOD_vs_LOD",234,"study_1"
"IGHM",0.00963136669397024,0.123796133264196,0.00605287459764104,0.938075639877372,0.98134955412764,"EOD_vs_LOD",234,"study_1"
"LAMA2",0.0360918697430308,0.0172171749033906,4.39435339387922,0.0380743696462728,0.266242925201374,"EOD_vs_LOD",234,"study_1"
"APLP2",-0.0677418566396812,0.0270053443274528,6.29237725781217,0.0132649711447373,0.158948287961067,"EOD_vs_LOD",234,"study_1"
"AGA",0.00872476865133995,0.0335824033957014,0.0674969722012832,0.795419744157723,0.93481164160494,"EOD_vs_LOD",234,"study_1"
"CFI",-0.0297674798967134,0.0415366248725732,0.513596114337035,0.474581547724642,0.775664210833058,"EOD_vs_LOD",234,"study_1"
"CD44",0.0271995915795787,0.0239845273907983,1.28606356708561,0.258475040104435,0.593306569756903,"EOD_vs_LOD",234,"study_1"
"IGSF8",0.00366608291058525,0.016114247278764,0.0517588379827844,0.820293532486815,0.942126655037903,"EOD_vs_LOD",234,"study_1"
"CNTNAP4",-0.0253415414343706,0.0326843257479056,0.60115573602047,0.439502238855729,0.750467368916037,"EOD_vs_LOD",234,"study_1"
"C1QC",-0.0173050670432078,0.0221493793535068,0.610412543671985,0.435944615205861,0.748734876616067,"EOD_vs_LOD",234,"study_1"
"C1R",0.0240222405550308,0.0211012105989507,1.29602171821281,0.256655654060072,0.593306569756903,"EOD_vs_LOD",234,"study_1"
"CPN2",0.0205439167361861,0.0600658711508911,0.1169798155215,0.732811284252066,0.909286006528301,"EOD_vs_LOD",234,"study_1"
"AMBP",0.0828852882617187,0.0490618199542594,2.85408955166695,0.0932575872131644,0.387499343663083,"EOD_vs_LOD",234,"study_1"
"C5",0.00474546412240948,0.0584711658706695,0.00658679097481589,0.93541777893412,0.979621972755702,"EOD_vs_LOD",234,"study_1"
"HEXA",0.0177701370051326,0.0297176338189996,0.357563432971818,0.55089783756761,0.82900974822231,"EOD_vs_LOD",234,"study_1"
"DBI",0.0453738806574619,0.020459747461735,4.91825804689255,0.0279714029730565,0.226045185265132,"EOD_vs_LOD",234,"study_1"
"C1QA",-0.0502467984008828,0.0234241184316037,4.60140308501554,0.0337507998671753,0.252685562305121,"EOD_vs_LOD",234,"study_1"
"NRXN3",-0.0126692916031429,0.0207556073998445,0.372592209400374,0.542539355682166,0.823397357924113,"EOD_vs_LOD",234,"study_1"
"IGHV3-30",0.0214594751819106,0.062365686260567,0.118398658552733,0.731272297983846,0.908470287007056,"EOD_vs_LOD",234,"study_1"
"C6",0.0712992308628218,0.0559751516544393,1.62247917833363,0.204563000477906,0.544205442872012,"EOD_vs_LOD",234,"study_1"
"CLEC3B",0.00443070523651459,0.0194733286281781,0.0517684701519484,0.820356392727181,0.942126655037903,"EOD_vs_LOD",234,"study_1"
