"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"MT3",-0.0849119922571429,0.0736607858584698,1.32881758160912,0.255852349230859,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"NFASC",0.00883308207380951,0.039543203749953,0.0498977343474062,0.824312084575012,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"ALDOA",0.0447278557166667,0.0528368946308521,0.716607891730862,0.401439201518359,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"LSAMP",-0.0103381960261905,0.0419953268015852,0.0606020890145775,0.806656243918361,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PARK7",0.0638889628214286,0.0318824123860731,4.01558964665848,0.0505161149628288,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"YWHAZ",0.0515257902380953,0.0412101626680438,1.56329401320996,0.215453312312268,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CXCL16",0.0752757594214286,0.0389558840546114,3.73391271956626,0.0574664418895651,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CST7",-0.0116332528523809,0.0984545848030604,0.0139614474294772,0.906448317922575,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"SELENBP1",0.00492911499523807,0.0515955806070658,0.00912668145214845,0.924229801730027,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PROCR",-0.0429072147380952,0.0692409470434178,0.384003028080488,0.538237345124926,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"NCAN",0.0208008039190476,0.0681811131699208,0.093074790027177,0.761649096327192,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"NICOL1",-0.0438147769833334,0.100961125686482,0.18833578327513,0.66663406025908,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"DPP7",0.0691979460404761,0.104103245198435,0.441832717114491,0.508630313040358,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"ICOSLG",0.0603563167809524,0.0693557710215565,0.757321437084547,0.387922921883594,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PAPLN",0.0889145027119047,0.0570029589931537,2.43304648915401,0.123945050625234,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"FOLR2",0.0128866303571428,0.0565808859591953,0.051872747993961,0.820894926964127,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"GC",0.00549604849047622,0.102150588357088,0.00289480535104585,0.957330375948297,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"HBA1",0.072275651145238,0.376878551238274,0.0367774134820415,0.848534786021204,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGLV3-19",-0.238510898778571,0.177550379228104,1.80456798992259,0.184691792235747,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"FBLN5",0.0459505838809524,0.0330516636415589,1.93283784101775,0.17064677213329,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"LAMP2",0.0189565396476191,0.0483944767414562,0.153435739263002,0.696997148184454,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"NUCB2",0.0485943393071429,0.0690628474736041,0.495088003156417,0.485484913494986,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PDGFB",0.00927687546666667,0.0501785086348372,0.0341796770116041,0.854072857936697,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"ITIH2",0.0434445574166667,0.116211911669744,0.139755678792957,0.709939849826175,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CSF1R",-0.0443738100095238,0.0485597013382554,0.835028743612785,0.364351919574028,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PGLYRP2",-0.0489372138761905,0.0948690478705921,0.266090516529061,0.608153095080066,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGHM",-0.183602028521429,0.259926744591091,0.498945391020111,0.483436929255647,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"LAMA2",0.0196916592738095,0.0346502173257663,0.322962947054863,0.572536478467409,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"COL23A1",0.107204472157143,0.0520683243729565,4.23914822418989,0.0430157554246862,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"APLP2",-0.0014254885047619,0.0626785156635632,0.000517237534401293,0.981952955348783,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"AGA",0.0595045145738095,0.0670394884485358,0.787840767313287,0.380098773174738,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CFI",-0.0942351344642857,0.0878933183992617,1.14951326213209,0.288720178434368,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CD44",0.0545435007285714,0.0348509265513787,2.44938672332912,0.121998144764776,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGSF8",-0.0110914002095238,0.025216145002303,0.193470772612156,0.661582450960627,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CNTNAP4",0.00936359546666667,0.0640176081163247,0.0213937244682978,0.884326510178855,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"C1QC",-0.0292190702452381,0.0417257841986093,0.490369860989382,0.487673711959186,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"C1R",-0.00801208244047619,0.0388079599327772,0.0426235081997043,0.837237244945292,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CPN2",-0.0278818392904762,0.124216884307383,0.0503827160250357,0.823298279363876,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"AMBP",-0.0178230056928571,0.0977589383766387,0.0332390756796919,0.856077317531518,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"C5",-0.057889792952381,0.118797771225972,0.237458328695278,0.628205154400198,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"HEXA",0.0179131744785714,0.0648784777805547,0.0762331400625478,0.783943308730273,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"DBI",0.0294573621095238,0.033997396285347,0.750751816540128,0.390669332336802,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"C1QA",-0.0182805522809524,0.0423836169284124,0.186029831635733,0.668235854308319,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"NRXN3",0.0544373962916667,0.0596435751579392,0.833042874262633,0.365766078627612,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"C6",0.0517411156285714,0.120297925920474,0.184993001118329,0.669003213513641,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CLEC3B",0.0111743352642857,0.0305021191800513,0.134209533707903,0.715536664461105,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"SPARCL1",-0.0153473774714286,0.059515642419324,0.0664976194126242,0.797601948876848,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"GAP43",0.0544655963071429,0.0615958035186022,0.781883909173405,0.38118825234443,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"MT1X",-0.0660608665476191,0.0653488002908091,1.02191151882718,0.317249043124258,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"MCAM",-0.0341262988333333,0.0424018606950009,0.647751681573825,0.424436535854448,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"SCG2",-0.0195766645952381,0.0728688920506925,0.0721760428885624,0.789567132496495,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"LMAN1",-0.0222984266309524,0.0315471503853648,0.499606602116838,0.482274548877385,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"HBD",0.0745620512857144,0.287016615577505,0.0674872321446511,0.795827898694324,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"ADGRB2",-0.0473110210214286,0.0841999471979835,0.315719206817276,0.577076932622537,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"LTBP4",0.0283076420904762,0.0465106015072982,0.370427720900013,0.546380061835266,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGHG3",0.0213215706904762,0.191815230378135,0.012355838231586,0.912030926430617,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PON1",-0.0816514393238096,0.1480448152915,0.304187444622541,0.583685512164133,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"AXL",-0.0388383205880952,0.0321775359622496,1.45685160186375,0.231870256680156,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CADM1",0.000859494495238089,0.0492461044093383,0.000304608793173628,0.986168496312236,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"APOD",-0.0276592590666667,0.0692502367923368,0.159528601754165,0.691165340894285,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"SPON1",0.0128845441952381,0.033910800103807,0.14436504329463,0.705804103340236,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"MGAT1",0.00497458552619046,0.0307846166295204,0.0261123708345202,0.872268731343852,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"SERPINF2",-0.0307024590023809,0.0977036947459044,0.0987470990033798,0.754795557228118,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CP",0.00698966971904762,0.0894274368970225,0.0061090227473124,0.938033791189788,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PCSK1",-0.0827146260261905,0.103649658435695,0.636837854462427,0.429084708666905,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CPB2",-0.0417009488785714,0.101181745544396,0.169858599732916,0.682126430958282,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"SPARC",0.0344342573595238,0.0443199323030353,0.603647304036745,0.440726268382419,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"LYVE1",0.0384809441023809,0.0438894183776511,0.768726382086313,0.383608689296525,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGKC",-0.0738543125404762,0.139877286952729,0.278777243483551,0.600288037370998,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGHG4",-0.138100645835714,0.256592634674261,0.289669684972586,0.593115384655421,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CNDP1",-0.0400294010380952,0.0577655477802577,0.480198049302078,0.491725631976489,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"EFNB2",0.0283199733952381,0.0475577266618363,0.354603901156845,0.554789235851886,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PRRT2",-0.00608879890476188,0.0790579773050864,0.00593160010422915,0.938951100260378,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"RNASET2",0.0561713032380952,0.0491698706836236,1.30506116972749,0.258434810578343,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PNOC",-0.0350847142380952,0.0998831867461008,0.123381801552489,0.727350171953316,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PLTP",-0.00285552150238094,0.0357243144860945,0.00638914966969406,0.936660496111854,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"ATRN",-0.0360950162619048,0.0413429587083697,0.762239369545741,0.386022652749578,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"LGALS1",0.0540449525095238,0.0413408113173865,1.70904023900848,0.19555635997458,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"OMG",0.00385403436190477,0.0630780832039129,0.00373313924722465,0.951573674659653,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGLL5",-0.134624093597619,0.157273948717056,0.732709804318075,0.395817510598095,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"FAT2",-0.0232484275333333,0.0630443692992735,0.135986112469639,0.713717229908977,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"AHSG",-0.0750561690214286,0.110316795536218,0.462902483853116,0.499809509037928,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGFBP6",0.0158699133190476,0.0584151694184734,0.0738070467385978,0.786999196646125,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CFHR2",0.0386843881928571,0.156289115312679,0.0612652203434502,0.80551531628703,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGHV3-72",-0.16564833527381,0.124918875293178,1.75840139878717,0.190567544153101,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"NPPC",0.0178444561404762,0.0474515270574466,0.141418506338598,0.708657264103991,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CPE",0.0300838051880952,0.0466660625967484,0.415588208532352,0.52150503120617,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"HSPA8",0.0171235952547619,0.0457633483521062,0.140008474071802,0.710131441223728,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"C4BPA",-0.0628889080642857,0.16861153695403,0.139114863522209,0.710586591880538,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"VTN",-0.0736812457333333,0.102071335972946,0.521082300163054,0.47361680498239,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"SEMA6A",0.00568982851904759,0.0424638334008835,0.0179539479125885,0.893974757111655,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"WFDC1",-0.0657511395214286,0.0991275999472449,0.439964246595072,0.5099596040851,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"NPTX1",0.00625498986190476,0.0596801344144985,0.0109848374571487,0.916992903602964,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PTN",0.0613733038428572,0.061329913933545,1.00141546776616,0.32185022866569,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"DCN",-0.00333315913333343,0.0648896969181641,0.00263852130649705,0.959225495561469,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"MEGF10",0.0155944065214286,0.0374387402691499,0.173498309789182,0.678870856929511,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PSAP",0.0388445162809524,0.0433815638400561,0.801768571059139,0.375543249350892,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGLV3-21",-0.0501274158833334,0.1240893665883,0.16318547439255,0.687911220515351,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"GGH",0.0520551608333333,0.0533907861972402,0.950593747064672,0.333906109746098,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"F10",0.0233309037785714,0.05349361025703,0.190221370664583,0.664812058013498,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"KRT2",0.0294528112904762,0.198479681130002,0.0220202072682537,0.882561551634439,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"GALNT2",-0.00195641640952382,0.0187669596788734,0.0108676276942159,0.917227668353402,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"NTNG1",0.0274556844547619,0.0542182376068492,0.256432907661411,0.615152214744919,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CD55",-0.022158530502381,0.0419894512198992,0.278484811643636,0.600132228084882,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CD99L2",-0.0302012174595238,0.048711607808106,0.384400524863529,0.537993641329499,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGHA1",-0.0888016229785714,0.177676782314504,0.249793104256801,0.619488162272544,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"ACYP2",-0.0411745706761905,0.0411692800108268,1.00025703657261,0.321847630605146,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"EFEMP2",0.0153092890928572,0.0282621494846254,0.293426727414776,0.590417346825287,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CHI3L1",0.0728597194904762,0.088041595293546,0.684855871107911,0.412472530287792,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"FAM3C",0.00114632367857148,0.054121300624955,0.000448619427609521,0.983194863299709,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGKV1-5",-0.0645984274047619,0.193180034158857,0.111819980997179,0.739722205762757,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CRTAC1",-0.0168772291595238,0.04711787802719,0.128301238128256,0.721926770690655,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IL6ST",-0.00500435986190476,0.0470268600738698,0.0113241365983749,0.915755308023629,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PRSS1",-0.0179205642547619,0.0636724649067951,0.0792136516919027,0.779389322534332,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CTSH",-0.0386403639119048,0.103946342588441,0.138185982195943,0.712183280741768,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"SEMA6D",-0.0212619198857143,0.0429798847652848,0.24472281595353,0.623629736056582,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"TIMP1",0.0122173237642857,0.0549275260553318,0.049473437677298,0.82482916428739,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IDS",0.0217888405190476,0.0460497890338716,0.22387878969068,0.638586294221849,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"SELL",-0.00613780094761901,0.0578464555266699,0.0112582812379792,0.915839283989435,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"PROS1",0.0386448775619048,0.048758995366355,0.628165924161532,0.432239901363299,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"CYCS",0.06527626575,0.0409821309637102,2.53700620843831,0.116471885057607,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"ADAMTS4",0.00694329709761909,0.0383730981751793,0.0327399316131902,0.857030065110571,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"NELL2",-0.0275923553619047,0.066245535760151,0.173485952853242,0.679128261585879,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"TAFA5",-0.00721809133809523,0.0482762452637033,0.022355159696151,0.88178112249687,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"TNFRSF21",-0.0437904621238095,0.065973343235786,0.440577253441961,0.510385087237609,0.999791151227026,"EOD_vs_LOD",88,"study_5"
"IGKV1D-33",-0.0702962175428572,0.131290721861797,0.286678974622797,0.594969796456611,0.999791151227026,"EOD_vs_LOD",88,"study_5"
