"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"MT3",-0.000261799687714337,0.100263359597364,6.81794891499116e-06,0.997955110706834,0.998640049012054,"EOD_vs_CN",119,"study_7"
"NFASC",0.041092557828823,0.0248225691618835,2.74051946556749,0.119198664529181,0.49797035210185,"EOD_vs_CN",121,"study_7"
"ALDOA",0.136929435933346,0.0259353683969788,27.8746097380842,7.72763414943024e-05,0.0126844431596854,"EOD_vs_CN",121,"study_7"
"LSAMP",0.0197847095524573,0.0433764037702904,0.208042599790425,0.656067820370865,0.85335220177824,"EOD_vs_CN",121,"study_7"
"PARK7",0.101053726293195,0.0281278904145785,12.9071495527193,0.00224363186268143,0.0853154628626868,"EOD_vs_CN",120,"study_7"
"YWHAZ",0.112018083633337,0.0494758202434648,5.12613773750341,0.0417598313829388,0.330390441139532,"EOD_vs_CN",119,"study_7"
"CXCL16",-0.0446765368155848,0.0494149182235032,0.817415444667765,0.381057832702962,0.720954684573868,"EOD_vs_CN",119,"study_7"
"SELENBP1",-0.0261007756216269,0.0437047714402867,0.35665565929728,0.558991833743258,0.807375776416896,"EOD_vs_CN",121,"study_7"
"PROCR",0.00208374868513772,0.0357599242156382,0.00339545123911354,0.954075848019664,0.988780931502816,"EOD_vs_CN",121,"study_7"
"NCAN",0.0673912603864553,0.040885379058726,2.71688402744474,0.11976624182624,0.498593158724651,"EOD_vs_CN",121,"study_7"
"NICOL1",0.0103932868458276,0.0456782363193201,0.0517710738281632,0.823034659237752,0.936025376886617,"EOD_vs_CN",120,"study_7"
"DPP7",0.0167481713375954,0.050710028546807,0.109080490029807,0.74615623085593,0.906492911443908,"EOD_vs_CN",121,"study_7"
"ICOSLG",0.0739225530174217,0.0515640248748071,2.0552293645637,0.173105483129673,0.57307477668239,"EOD_vs_CN",121,"study_7"
"PAPLN",-0.0452689162529714,0.0254413314597019,3.16607007352145,0.0904094679893935,0.443828297402477,"EOD_vs_CN",119,"study_7"
"FOLR2",-0.0164121250922431,0.0860716730124028,0.0363587670607554,0.853382410191888,0.947204791544178,"EOD_vs_CN",96,"study_7"
"GC",0.0760480714966096,0.0973037487245477,0.610825650356119,0.453864820729365,0.752006509974833,"EOD_vs_CN",38,"study_7"
"HBA1",-0.0182766843684226,0.339125805296976,0.00290451181523521,0.958152969562035,0.988780931502816,"EOD_vs_CN",107,"study_7"
"IGLV3-19",-0.0511113154907505,0.0716929386457931,0.508254641430513,0.487455133823354,0.766712779821429,"EOD_vs_CN",119,"study_7"
"FBLN5",0.0279390334817595,0.0217730111658144,1.64659110757781,0.213315210544249,0.613439007837308,"EOD_vs_CN",121,"study_7"
"LAMP2",0.0960651430334192,0.0650688142043444,2.17964558805981,0.16323797775047,0.560002286023964,"EOD_vs_CN",121,"study_7"
"NUCB2",0.0570843937527998,0.0622061676415676,0.842108194367295,0.374831082469114,0.717196480629879,"EOD_vs_CN",106,"study_7"
"PDGFB",0.0301605114206405,0.0436622517984468,0.477161223085403,0.501473019773308,0.778406055003627,"EOD_vs_CN",121,"study_7"
"ITIH2",-0.0420920298158665,0.0704535040632913,0.356939443957036,0.560069429316048,0.807375776416896,"EOD_vs_CN",121,"study_7"
"CSF1R",0.0223686225060549,0.0263342335555792,0.72150129492781,0.407235741619657,0.73519348938811,"EOD_vs_CN",121,"study_7"
"PGLYRP2",0.0178768270032856,0.0646072144939305,0.0765629821044142,0.786283767915348,0.92302877103106,"EOD_vs_CN",120,"study_7"
"IGHM",-0.240273490197088,0.0889358127716039,7.29891585883922,0.0161397257596341,0.198623123041795,"EOD_vs_CN",121,"study_7"
"LAMA2",0.0467047415064714,0.0417145409278045,1.25356543459354,0.281863978594643,0.652551168467521,"EOD_vs_CN",120,"study_7"
"APLP2",0.183277037366904,0.0581372554674438,9.93818461936529,0.00692790972173388,0.147772255242273,"EOD_vs_CN",121,"study_7"
"AGA",-0.0224774484199903,0.0710812835851438,0.0999961999105189,0.756573665702824,0.907307098839036,"EOD_vs_CN",121,"study_7"
"IGHV3OR16-12",-0.224513376646026,0.155936425094268,2.07295223908947,0.274557396140111,0.64698946737598,"EOD_vs_CN",34,"study_7"
"CFI",-0.105817345059028,0.0314272429380349,11.3370785696736,0.00403050460496879,0.115225014000872,"EOD_vs_CN",121,"study_7"
"CD44",0.0968050248189565,0.0309921133493006,9.75648582215198,0.005666934629846,0.137706511505258,"EOD_vs_CN",121,"study_7"
"IGSF8",0.0502932916964722,0.0375722933317204,1.79178011992623,0.203046509941616,0.600081709495897,"EOD_vs_CN",121,"study_7"
"CNTNAP4",0.0247644819176447,0.0430048529629413,0.331606900542803,0.574116715722677,0.817654527814096,"EOD_vs_CN",121,"study_7"
"C1QC",-0.0553265544824892,0.0319040000572645,3.00730152853104,0.103844452021525,0.464092098746787,"EOD_vs_CN",121,"study_7"
"C1R",-0.0203462700110446,0.0303533721896711,0.449319961341043,0.51294938449846,0.788071867859593,"EOD_vs_CN",121,"study_7"
"CPN2",-0.0469616526410528,0.0410543456907285,1.30848417321979,0.270769432301102,0.64698946737598,"EOD_vs_CN",120,"study_7"
"AMBP",-0.137109902162051,0.0907055713375403,2.28491324657314,0.153111140996989,0.547304299076522,"EOD_vs_CN",121,"study_7"
"C5",-0.031517746284095,0.0362894267903025,0.754310396599625,0.396730875119166,0.734482523477742,"EOD_vs_CN",121,"study_7"
"HEXA",-0.0229797005417804,0.0789525537922702,0.0847142295429316,0.775460118822868,0.916224354330422,"EOD_vs_CN",120,"study_7"
"DBI",-0.0092586738150322,0.0573743526906071,0.026041258620026,0.874755681816246,0.958222226963251,"EOD_vs_CN",117,"study_7"
"C1QA",0.0337319112478518,0.0350254149247632,0.927502994305668,0.346091453427732,0.707941965530787,"EOD_vs_CN",121,"study_7"
"NRXN3",0.0605216741071688,0.0413383766114088,2.14345825691062,0.164870470997329,0.561638193257255,"EOD_vs_CN",121,"study_7"
"IGHV3-30",-0.0898722369425071,0.0328177594738783,7.49951620147833,0.012658963132795,0.176137736112657,"EOD_vs_CN",121,"study_7"
"C6",-0.0399144035135199,0.0496283050583594,0.646845261084978,0.43562533872542,0.751647034155814,"EOD_vs_CN",121,"study_7"
"CLEC3B",0.00892105584506453,0.035026054300151,0.064870923835271,0.80259046407494,0.926788368378187,"EOD_vs_CN",121,"study_7"
"SPARCL1",0.0679464678560366,0.0315548993044091,4.63660578929935,0.0494259088329383,0.36031487539212,"EOD_vs_CN",121,"study_7"
