"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"NRG3",-0.00557300651826913,-0.0380348355751437,0.0268888225386054,-0.274417148280296,0.783764066225555,0,-0.00421299145521171,-0.0179700035105719,0.0118400830360531,6,1139,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN",3,"study_1; study_11; study_6",0.874889496593364
"RELT",-0.00175068370066159,-0.0250360640370072,0.021534696635684,-0.273970104792046,0.784107595882772,0.454866009423584,0.000907226586945383,-0.00965592125221146,0.0198172981703461,7,1204,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Olink_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN",3,"study_1; study_11; study_6",0.874889496593364
"FOLR2",0.00430436536637061,-0.0200261622579555,0.0286348929906968,0.273508127850874,0.784462645329445,0.837069116708298,0.00597910807363161,-0.0113943917738598,0.0216540726940843,10,1691,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Olink_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",0.83322068267727
"LRP4",0.00182966804188821,-0.0254753186154371,0.0291346546992135,0.272762248640148,0.785035980727019,0.881277941968638,0.00678948351615393,-0.0420894031911155,0.0618320621707102,6,1107,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN",3,"study_1; study_11; study_6",0.874889496593364
"COPB2",-0.00829915744427944,-0.122095709510391,0.105497394621832,0.271089101994859,0.786322503205458,0.785501641062296,NA,NA,NA,3,375,"study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN",2,"study_11; study_2",0.91005934256001
"TICAM2",-0.0060911196614182,-0.049522824112924,0.0373405847900876,-0.270439519856727,0.786822139921676,0,NA,NA,NA,3,232,"study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_7_LOD_vs_CN",2,"study_2; study_7",0.91005934256001
"CLU",0.00662648350482167,-0.0116603593174009,0.0249133263270442,-0.269674073588173,0.787411008074455,0.840394464898327,0.00727389038413114,-0.00871885197974608,0.0237391824210248,9,1732,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",0.835198710633457
"MEGF11",-0.000316516571516665,-0.0599367137954085,0.0593036806523752,0.264909560534256,0.791079133142836,0.345928314998237,-0.00537839035664716,-0.0231216879967896,0.0189408012060542,4,846,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_6_LOD_vs_CN",3,"study_1; study_11; study_6",0.879857552894336
"FUCA2",-0.0140297054654477,-0.071217851040077,0.0431584401091817,-0.262957452882266,0.79258337299308,0.118660688404865,-0.0121616216611851,-0.0272983627036639,0.0119550452324537,8,1703,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",0.839527016297078
"KPRP",0.0591791466920813,-0.204588273687932,0.322946567072095,0.261553422649803,0.793665757465232,0,NA,NA,NA,2,55,"study_2_LOD_vs_CN; study_6_LOD_vs_CN",2,"study_2; study_6",0.91600685674188
