"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"UBA52",-0.00977614688881445,0.038446411033562,0.0646582323031712,0.799868327357806,0.898824949782057,"LOAD_vs_CN",121,"study_4"
"MT3",-0.0579052574542009,0.0483535164228428,1.43410142734891,0.233937749664596,0.437208029625262,"LOAD_vs_CN",121,"study_4"
"NFASC",-0.0958209607928175,0.0294224136266818,10.6063132414328,0.00154714008910826,0.0110283319172332,"LOAD_vs_CN",121,"study_4"
"ALDOA",0.179906604234594,0.0416631054542074,18.6462256944108,3.90197787231654e-05,0.000850784194905097,"LOAD_vs_CN",121,"study_4"
"LSAMP",-0.0822254871954033,0.0300145516683927,7.50497395755081,0.00735462416724334,0.0360279386518704,"LOAD_vs_CN",121,"study_4"
"PARK7",0.132310290125039,0.028978102523421,20.847181826343,1.62205393325384e-05,0.000439932676531286,"LOAD_vs_CN",121,"study_4"
"YWHAZ",0.559378031189766,0.0411730034787172,184.580455828825,3.84530118481066e-24,4.27597491750945e-21,"LOAD_vs_CN",121,"study_4"
"CXCL16",0.0653414141817805,0.0554164554216083,1.39027134580445,0.242007415548661,0.444079614010084,"LOAD_vs_CN",108,"study_4"
"SELENBP1",-0.158367960773714,0.0478523522678626,10.9528733734109,0.00132561339500995,0.0101660834155246,"LOAD_vs_CN",121,"study_4"
"PROCR",-0.00352656253410188,0.0566375505268446,0.00387698618377889,0.950471491025869,0.979409396146088,"LOAD_vs_CN",107,"study_4"
"NCAN",-0.0652320388713079,0.0503470195375835,1.67870495978859,0.198058525382525,0.39147575288338,"LOAD_vs_CN",121,"study_4"
"NICOL1",-0.157651370357126,0.0576871105781902,7.46857810256331,0.00753872511306973,0.0367678172181296,"LOAD_vs_CN",121,"study_4"
"DPP7",0.089762807602618,0.0738913359277419,1.47572630590494,0.227638316490941,0.430499673363821,"LOAD_vs_CN",121,"study_4"
"ICOSLG",-0.183881462893611,0.0561057094285985,10.7414221209952,0.00144726923863417,0.0107290892890746,"LOAD_vs_CN",113,"study_4"
"PAPLN",-0.0802832713757997,0.0426533122510528,3.54278337050827,0.0629925505711005,0.176195569877951,"LOAD_vs_CN",121,"study_4"
"FOLR2",-0.0668443486897363,0.0509258641756877,1.722870271528,0.192620517119642,0.384189882772272,"LOAD_vs_CN",121,"study_4"
"GC",0.109812465214155,0.0747934524482834,2.15563944179874,0.145290300195823,0.31403750538698,"LOAD_vs_CN",121,"study_4"
"HBA1",0.257403665525521,0.439580433993142,0.342888363898999,0.559427928757031,0.73100335696571,"LOAD_vs_CN",121,"study_4"
"IGLV3-19",0.147861529807056,0.120088014526582,1.51604140089576,0.221230749287502,0.424885307785324,"LOAD_vs_CN",105,"study_4"
"FBLN5",0.0496326988894662,0.0296975997774651,2.79314243474905,0.0977639416921171,0.234296343020763,"LOAD_vs_CN",121,"study_4"
"LAMP2",0.00538237435839495,0.0678310974591457,0.00629636816212515,0.936941532898097,0.970092164415906,"LOAD_vs_CN",87,"study_4"
"NUCB2",-0.0479688942282017,0.0550165027496033,0.760209783719857,0.385448324189711,0.601148017530096,"LOAD_vs_CN",121,"study_4"
"PDGFB",-0.0529984866664881,0.0614055812811874,0.744922760342539,0.39114967601914,0.604949151228489,"LOAD_vs_CN",96,"study_4"
"ITIH2",0.207831469853447,0.0998632203457505,4.33123237231025,0.0405461629851104,0.128820952112694,"LOAD_vs_CN",121,"study_4"
"CSF1R",0.05854785790621,0.0434912666782383,1.8122491596094,0.181069061683305,0.369618872659674,"LOAD_vs_CN",120,"study_4"
"PGLYRP2",0.0436931336616073,0.0858592018818314,0.258971929429212,0.61191748217175,0.775886248774214,"LOAD_vs_CN",121,"study_4"
"IGHM",0.175546152191972,0.164762356234624,1.13518499247817,0.28923046445871,0.489534667394346,"LOAD_vs_CN",121,"study_4"
"LAMA2",0.00589608257538821,0.0275152079595613,0.0459178468682527,0.830773320865641,0.914251822006939,"LOAD_vs_CN",121,"study_4"
"APLP2",-0.0102527551598683,0.0510214956719644,0.0403807891063742,0.841127961630326,0.917224897324571,"LOAD_vs_CN",121,"study_4"
"AGA",-0.066516895159257,0.05873288876196,1.28262947086094,0.260493065870463,0.463199912269729,"LOAD_vs_CN",119,"study_4"
"CFI",0.0233958584257774,0.0650668890802227,0.129287900517926,0.719990561052063,0.849925163365068,"LOAD_vs_CN",121,"study_4"
"CD44",0.120264814949255,0.0373521745407055,10.3668160899977,0.00175599064848091,0.0121283329261538,"LOAD_vs_CN",121,"study_4"
"IGSF8",-0.097790839659659,0.0240037135305322,16.5973778103021,8.71510658444345e-05,0.00149095361875402,"LOAD_vs_CN",121,"study_4"
"CNTNAP4",-0.0689181284230074,0.0536120480665683,1.65250260748339,0.201572494476985,0.396022285968918,"LOAD_vs_CN",121,"study_4"
"C1QC",0.0579771120980634,0.0303015712700624,3.6608577972746,0.0584692944773184,0.168440040048648,"LOAD_vs_CN",121,"study_4"
"C1R",0.0444871460602432,0.0313543587760476,2.0131365995907,0.159392737857158,0.335690766093105,"LOAD_vs_CN",121,"study_4"
"CPN2",0.00371108527154096,0.0978478078701389,0.00143846621498385,0.969831878625889,0.98322233926015,"LOAD_vs_CN",121,"study_4"
"AMBP",0.223274986945465,0.0755613082937683,8.73134618349512,0.00407214809641083,0.023103207567392,"LOAD_vs_CN",121,"study_4"
"C5",0.0983427004863113,0.0889930234961167,1.22115934058547,0.27226963468787,0.472330473904698,"LOAD_vs_CN",121,"study_4"
"HEXA",8.5932966886304e-05,0.0506458410875504,2.87893617431561e-06,0.998649746297271,0.999548620956404,"LOAD_vs_CN",121,"study_4"
"DBI",0.0999139566936611,0.0379911763591333,6.91650719572602,0.0101056171446235,0.0453122833258923,"LOAD_vs_CN",121,"study_4"
"C1QA",0.0637180573066995,0.0368853188266816,2.98413158140536,0.0876801346688569,0.220588936089975,"LOAD_vs_CN",121,"study_4"
"NRXN3",-0.100622325738565,0.0382085495128608,6.93533749558788,0.0098092549628001,0.0443410224334704,"LOAD_vs_CN",121,"study_4"
"IGHV3-30",0.129462384299613,0.0882812842439641,2.15055184883047,0.145440031721488,0.31403750538698,"LOAD_vs_CN",121,"study_4"
"C6",0.156711183595226,0.0870477780854376,3.24104156862656,0.075208338385461,0.199123029249125,"LOAD_vs_CN",121,"study_4"
"CLEC3B",0.0265943634044614,0.030956397292828,0.738037407210768,0.392083002776351,0.605133657047878,"LOAD_vs_CN",121,"study_4"
"SPARCL1",-0.11299841580694,0.0376739316249442,8.99627700393591,0.00352669901777308,0.0204254651446024,"LOAD_vs_CN",121,"study_4"
"GAP43",0.225021018461269,0.055117072448867,16.6676314236206,0.000100757133058546,0.00167226764121049,"LOAD_vs_CN",121,"study_4"
"MCAM",-0.0091140136582748,0.0462588834760296,0.0388176337130914,0.844278383057469,0.919527484779535,"LOAD_vs_CN",121,"study_4"
"SCG2",-0.224650817413497,0.0483053856898906,21.6284251652235,1.23328177578046e-05,0.000360897193333649,"LOAD_vs_CN",121,"study_4"
"LMAN1",-0.111660522252145,0.0583015575752616,3.66808165265694,0.0591186085624898,0.168867434660554,"LOAD_vs_CN",121,"study_4"
"ADGRB2",-0.163901624674602,0.0658983446261453,6.18610812548013,0.015268380508746,0.0621920847096175,"LOAD_vs_CN",105,"study_4"
"LTBP4",-0.0284334055736357,0.0405413556986981,0.491882333855475,0.484833544961063,0.672630725965156,"LOAD_vs_CN",121,"study_4"
"IGHG3",0.274138833919842,0.132813240197872,4.26047849901368,0.0421372446860171,0.132363322290539,"LOAD_vs_CN",121,"study_4"
"PON1",-0.105016788095035,0.133247175801096,0.621157076274006,0.432691288897921,0.629781038291215,"LOAD_vs_CN",121,"study_4"
"AXL",-0.0987007808465172,0.044754804851675,4.86364470209918,0.0309087608070041,0.105108691184675,"LOAD_vs_CN",84,"study_4"
"CADM1",-0.056194396568559,0.0337867741708105,2.7662572551118,0.0994892442044428,0.236899442302656,"LOAD_vs_CN",121,"study_4"
"APOD",-0.028805703729077,0.048904791060602,0.346939831821184,0.557206182675986,0.729815400630974,"LOAD_vs_CN",121,"study_4"
"SPON1",0.117678464887014,0.0295984980660848,15.8071888132336,0.000141978128471653,0.00216273532685586,"LOAD_vs_CN",121,"study_4"
"MGAT1",-0.0432630403729961,0.0471400443873257,0.842275366729428,0.361064264920726,0.576129149662585,"LOAD_vs_CN",121,"study_4"
"SERPINF2",0.110203016256166,0.0754607810334126,2.13277170684288,0.147800511636679,0.317286040424685,"LOAD_vs_CN",121,"study_4"
"CP",0.0242983489591566,0.0683569331969581,0.126353823874003,0.723020985623453,0.850792948162201,"LOAD_vs_CN",121,"study_4"
"PCSK1",-0.277147358987836,0.0784798805207896,12.4711017471002,0.00068968489555103,0.00655495387908329,"LOAD_vs_CN",116,"study_4"
"CPB2",0.137929312281434,0.0831391742601364,2.75233775820627,0.100761408922679,0.239415997269272,"LOAD_vs_CN",121,"study_4"
"SPARC",0.0256967590646742,0.0396897971034548,0.419178450113913,0.518901603124265,0.695112653724319,"LOAD_vs_CN",121,"study_4"
"LYVE1",-0.144459558023828,0.0514348393770809,7.88819771862542,0.00590651670406785,0.030407623032053,"LOAD_vs_CN",121,"study_4"
