"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"SAA4",0.0592867124917059,-0.0710001682289458,0.189573593212358,0.0745951241217481,0.940536853703334,0.707420855604817,0.0614491280304546,0.0153555811662919,0.11185286342256,7,1035,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.961904133725409
"SERPINA5",0.0268112278806753,-0.0400146786069299,0.0936371343682806,0.0738215306323668,0.941152394799861,0.802465411144622,0.0297000626764439,-0.00889332479082424,0.0597676316966041,9,1256,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.961904133725409
"IGHV3-11",0.0240407238352667,-0.0958280817672292,0.143909529437763,-0.0726188607512783,0.942109417636724,0.78040264453276,NA,NA,NA,2,720,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN",2,"study_1; study_11",0.976584743226991
"SIGLEC14",0.00584410232074494,-0.104486169453961,0.116174374095451,0.0721493899846312,0.942483021086155,0,0.0036223816384021,-0.0251020822878464,0.017939017111425,7,986,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.962016347948044
"EDNRB",0.00830452201626651,-0.105104338794732,0.121713382827265,0.070938417559569,0.943446767587279,0,NA,NA,NA,2,351,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN",2,"study_11; study_2",0.976584743226991
"TNFRSF4",-0.00574292521453125,-0.108310426519376,0.0968245760903132,-0.0699391682429126,0.94424207769239,0,NA,NA,NA,3,622,"study_3_Olink_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",2,"study_3_Olink; study_8",0.976584743226991
"ANGPT4",0.0196856818715357,-0.0765279010452005,0.115899264788272,0.0687907904468033,0.945156148881564,0.492524466177207,NA,NA,NA,3,717,"study_7_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",2,"study_7; study_8",0.976584743226991
"CLIC1",0.0355888992152597,-0.0472195233417664,0.118397321772286,0.0683022520928322,0.945545031406994,0.859691987542124,NA,NA,NA,5,837,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN",2,"study_1; study_11",0.976584743226991
"TUBB",0.0189650290533048,-0.0865559135514347,0.124485971658044,0.0674739181614355,0.94620442498716,0.110127335378882,NA,NA,NA,3,621,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN",2,"study_1; study_11",0.976584743226991
"CTDSPL",-0.00362557971371394,-0.0973053017124932,0.0900541422850654,-0.0674029815106445,0.94626089568669,0,NA,NA,NA,3,614,"study_2_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",2,"study_2; study_8",0.976584743226991
"LRRN1",0.00680879652508153,-0.0323332857967076,0.0459508788468706,0.0630946915124286,0.949691101437919,0.438244801127594,0.00811298061471444,-0.0186507401034344,0.034599684683886,8,1459,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",3,"study_1; study_11; study_8",0.971816521363892
"UST",0.023131244473509,-0.263540625781705,0.309803114728723,-0.0623173394690158,0.950310120413955,0.44902966874035,NA,NA,NA,4,456,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN",2,"study_11; study_2",0.976584743226991
"ART3",-0.00938713104012504,-0.0497805308457841,0.0310062687655341,-0.0618199237098386,0.950706237006503,0.437238943892496,-0.0112610021404403,-0.0445642526446263,0.0113220569327439,8,1217,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.969154611592658
"HSP90AB1",4.97733085001381e-06,-0.0581221469150512,0.0581321015767512,0.0604002234923674,0.95183688066292,0.797845682897243,0.0105761283620907,-0.0342295303590768,0.0819277189627999,6,818,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",3,"study_1; study_11; study_7",0.972269872734396
"PRNP",-0.0200548991184754,-0.072955844392717,0.0328460461557663,-0.0595967723338075,0.952476789105818,0.786742824021328,-0.019411860554162,-0.0342545426744088,-0.00191437776438381,7,1204,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.969191409546458
"SERPING1",0.0242076166288502,-0.0222513163959877,0.0706665496536882,0.0586859991641538,0.953202211165615,0.806275548163924,0.0248290201021006,0.00479005429642364,0.0491423791950484,8,1231,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.969191409546458
"PTH2R",0.0760063889043841,-0.212725443179146,0.364738220987914,-0.0573237649556987,0.954287289779201,0.736841371822246,NA,NA,NA,2,531,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN",2,"study_1; study_11",0.976584743226991
"BKGD",0.0110255602660036,-0.299978590461573,0.32202971099358,0.0572999420407838,0.954306266523631,0,NA,NA,NA,3,399,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_5_EOAD_vs_CN",2,"study_11; study_2",0.976584743226991
"DNASE1",0.05476218156733,-0.142159586063678,0.251683949198338,-0.0569962564345431,0.954548177227834,0.804970493726469,NA,NA,NA,3,619,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN",2,"study_1; study_11",0.976584743226991
"RNF149",-0.0546463032726303,-0.581431126689276,0.472138520144016,0.056675170589358,0.954803953215128,0.66200604292909,NA,NA,NA,2,275,"study_11_EOAD_vs_CN; study_2_EOAD_vs_CN",2,"study_11; study_2",0.976584743226991
"COL16A1",-0.0180814096869094,-0.0704577963450402,0.0342949769712213,-0.0552832836032492,0.955912779550522,0.731482513774415,-0.0148805684843571,-0.0614719544955773,0.0336357612576796,5,881,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",3,"study_1; study_11; study_7",0.974689637720264
